,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.223,0.1289,0.2154,0.219,0.2534,0.2314,0.2942,0.2188,0.4074,0.3033,0.2127,0.2228,0.2101,0.1936,0.1916,0.2101,0.1939,0.2055,0.194
cluster5.oracleGeneral.zst_10458446348,0.2092,0.1634,0.2136,0.2118,0.2202,0.2105,0.1994,0.2019,0.77,0.2029,0.2092,0.2087,0.2163,0.2007,0.193,0.204,0.1935,0.2018,0.1953
cluster4.oracleGeneral.zst_3448082328,0.0578,0.0347,0.0598,0.0604,0.0812,0.0913,0.1226,0.0715,0.2059,0.2353,0.0596,0.0604,0.058,0.0545,0.0531,0.0582,0.055,0.0624,0.0546
cluster50.oracleGeneral.zst_139655585,0.8431,0.6531,0.8091,0.8383,0.8434,0.8195,0.8322,0.837,0.9658,0.9428,0.8996,0.8428,0.796,0.7692,0.81,0.8098,0.8185,0.8391,0.7689
cluster27.oracleGeneral.zst_12060815269,0.6296,0.5485,0.6421,0.6517,0.6719,0.6514,0.6447,0.6531,0.9175,0.6359,0.6415,0.6558,0.6388,0.6234,0.6271,0.6384,0.6355,0.6493,0.6226
cluster21.oracleGeneral.zst_1550193320,0.9418,0.9361,0.9402,0.9429,0.9453,0.9428,0.9413,0.9418,0.9597,0.9417,0.9429,0.9433,0.9421,0.9411,0.9405,0.9417,0.9418,0.9466,0.9414
cluster11.oracleGeneral.zst_2731402190,0.4583,0.3196,0.4397,0.459,0.4838,0.4893,0.5259,0.4519,0.736,0.5871,0.4655,0.4584,0.4517,0.4333,0.4451,0.4428,0.4308,0.4591,0.4289
cluster26.oracleGeneral.zst_156594627,0.0704,0.0667,0.0701,0.0703,0.0871,0.1429,0.209,0.0939,0.6779,0.1014,0.1145,0.07,0.07,0.0703,0.0715,0.0702,0.0783,0.3247,0.0722
cluster16.oracleGeneral.zst_10791885322,0.2657,0.163,0.2646,0.2651,0.3148,0.2892,0.336,0.2762,0.7429,0.3271,0.2666,0.2674,0.2501,0.2412,0.2404,0.2521,0.2458,0.2601,0.2411
cluster23.oracleGeneral.zst_5333543178,0.4174,0.4162,,0.4175,0.4175,0.4184,0.4171,0.4175,0.91,0.417,0.4229,0.4173,0.4173,0.419,0.4188,0.4175,0.4173,0.4362,0.419
cluster28.oracleGeneral.zst_5267932037,0.0572,0.0301,0.051,0.0496,0.0657,0.0561,0.0656,0.0669,0.6997,0.0481,0.049,0.0484,0.0479,0.0475,0.0474,0.048,0.0511,0.0522,0.0488
cluster48.oracleGeneral.zst_1129939853,0.6873,0.5482,0.693,0.7036,0.7297,0.6995,0.6986,0.7048,0.9267,0.7086,0.6818,0.7074,0.6879,0.6735,0.673,0.6845,0.6808,0.703,0.6709
cluster41.oracleGeneral.zst_3214344864,0.0162,0.0094,0.0163,0.0169,0.0238,0.1506,0.246,0.015,0.0957,0.0705,0.0162,0.0162,0.0177,0.0148,0.0132,0.0159,0.0139,0.0137,0.0134
