,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.1259,0.0691,0.1221,0.1238,0.1526,0.1368,0.1615,0.1293,0.313,0.1752,0.1157,0.1255,0.1178,0.1079,0.1065,0.119,0.1068,0.1087,0.1081
cluster5.oracleGeneral.zst_10458446348,0.1826,0.1495,0.186,0.1857,0.193,0.182,0.1726,0.1745,0.6718,0.1775,0.1826,0.1823,0.1885,0.1753,0.1677,0.1771,0.1661,0.1691,0.1719
cluster4.oracleGeneral.zst_3448082328,0.0347,0.0223,0.0334,0.0329,0.0419,0.0451,0.0596,0.0371,0.1503,0.0984,0.034,0.0327,0.0318,0.0306,0.0302,0.0318,0.0305,0.0412,0.0304
cluster50.oracleGeneral.zst_139655585,0.7157,0.4782,0.6999,0.7312,0.7683,0.7292,0.7499,0.7374,0.897,0.859,0.6615,0.7479,0.6865,0.6581,0.6768,0.691,0.696,0.6998,0.6612
cluster27.oracleGeneral.zst_12060815269,0.5973,0.4911,0.5954,0.6003,0.6202,0.5994,0.5888,0.5969,0.8616,0.5974,0.5994,0.6033,0.594,0.5845,0.5809,0.5873,0.5839,0.6003,0.5828
cluster21.oracleGeneral.zst_1550193320,0.9397,0.9361,0.9395,0.9414,0.9426,0.9409,0.9402,0.9406,0.9415,0.9409,0.9414,0.9418,0.9409,0.9393,0.9395,0.9395,0.9407,0.9435,0.9394
cluster11.oracleGeneral.zst_2731402190,0.3583,0.241,0.3445,0.3552,0.3886,0.3729,0.3956,0.3475,0.6414,0.4819,0.36,0.3577,0.3439,0.3269,0.3199,0.3422,0.3201,0.3499,0.3236
cluster26.oracleGeneral.zst_156594627,0.0675,0.0665,0.0674,0.0671,0.0713,0.0871,0.1049,0.0679,0.6784,0.0722,0.0768,0.067,0.0677,0.0669,0.067,0.0673,0.0669,0.2844,0.0671
cluster16.oracleGeneral.zst_10791885322,0.1645,0.0935,0.1647,0.1635,0.1959,0.1725,0.2017,0.1708,0.6297,0.177,0.158,0.1646,0.1495,0.146,0.1451,0.154,0.1447,0.153,0.1466
cluster23.oracleGeneral.zst_5333543178,0.4172,0.4162,,0.4172,0.4172,0.4175,0.417,0.4171,0.9043,0.417,0.4208,0.4171,0.4171,0.4174,0.4172,0.4171,0.4171,0.4266,0.4173
