,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.0926,0.0538,0.0913,0.0905,0.1144,0.0966,0.0867,0.0986,0.0782,0.0855,0.0863,0.08,0.0792,0.0872,0.0799,0.0806,0.0797
cluster5.oracleGeneral.zst_10458446348,0.2182,0.1984,0.2211,0.22,0.2251,0.2166,0.2117,0.2127,0.2153,0.2182,0.2211,0.2138,0.2085,0.2145,0.2108,0.2106,0.2112
cluster4.oracleGeneral.zst_3448082328,0.0545,0.0344,0.0541,0.0539,0.0611,0.0507,0.0454,0.0573,0.0479,0.0533,0.0526,0.0498,0.0485,0.0519,0.0486,0.0559,0.0491
cluster50.oracleGeneral.zst_139655585,0.4451,0.2517,0.4407,0.4217,0.4553,0.3054,0.2086,0.4277,0.2316,0.3691,0.3623,0.3808,0.4146,0.3739,0.4378,0.3474,0.3999
cluster27.oracleGeneral.zst_12060815269,0.6384,0.3965,0.589,0.5951,0.6064,0.5855,0.5766,0.5858,0.5846,0.5788,0.5804,0.5723,0.5467,0.5643,0.5545,0.5537,0.567
cluster21.oracleGeneral.zst_1550193320,0.9404,0.9375,0.9405,0.9418,0.9425,0.941,0.9409,0.9412,0.9416,0.9425,0.9416,0.9404,0.9406,0.9406,0.9415,0.9447,0.9403
cluster11.oracleGeneral.zst_2731402190,0.3553,0.2433,0.3367,0.3473,0.3796,0.3143,0.2386,0.3435,0.2178,0.3324,0.3368,0.3226,0.319,0.3334,0.3188,0.3189,0.321
cluster26.oracleGeneral.zst_156594627,0.0784,0.0781,0.0782,0.0782,0.0788,0.0795,0.0782,0.079,0.0782,0.0783,0.0782,0.0782,0.0782,0.0782,0.0782,0.3041,0.0782
cluster16.oracleGeneral.zst_10791885322,0.0953,0.0614,0.0924,0.0906,0.1111,0.0879,0.0951,0.1036,0.0816,0.0862,0.0844,0.0844,0.0853,0.0869,0.0899,0.09,0.0853
cluster23.oracleGeneral.zst_5333543178,0.2712,0.2703,,0.2712,0.2712,0.2712,0.2709,0.2711,0.2709,0.2725,0.2711,0.2712,0.2709,0.271,0.271,0.2738,0.2711
cluster28.oracleGeneral.zst_5267932037,0.0306,0.0207,0.0292,0.0286,0.0321,0.0283,0.0281,0.0301,0.0278,0.029,0.0281,0.027,0.027,0.0275,0.0284,0.033,0.027
