,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.0309,0.0108,0.0298,0.0296,0.0356,0.0288,0.0192,0.0286,0.0216,0.0247,0.0231,0.0248,0.0247,0.0274,0.0272,0.0186,0.0243
cluster5.oracleGeneral.zst_10458446348,0.2019,0.1984,0.203,0.2036,0.2061,0.2022,0.2013,0.2015,0.2038,0.2019,0.2031,0.2014,0.201,0.2012,0.2028,0.2042,0.2004
cluster4.oracleGeneral.zst_3448082328,0.0359,0.0309,0.036,0.036,0.0394,0.0338,0.0325,0.0363,0.0369,0.0354,0.0353,0.0346,0.0346,0.035,0.0366,0.039,0.0346
cluster50.oracleGeneral.zst_139655585,0.1592,0.0736,0.1451,0.1293,0.1582,0.0862,0.0564,0.1311,0.0702,0.1301,0.135,0.1289,0.1334,0.1275,0.1392,0.1353,0.1365
cluster27.oracleGeneral.zst_12060815269,0.2871,0.1337,0.2733,0.2753,0.3142,0.2793,0.2318,0.2804,0.314,0.2612,0.2681,0.2546,0.2473,0.2604,0.2638,0.2327,0.2556
cluster21.oracleGeneral.zst_1550193320,0.9384,0.9375,0.9387,0.9387,0.94,0.9383,0.9384,0.9387,0.9387,0.9382,0.9389,0.9382,0.9387,0.9383,0.9391,0.9394,0.9381
cluster11.oracleGeneral.zst_2731402190,0.0806,0.0393,0.0765,0.0913,0.1197,0.0742,0.0437,0.1386,0.0494,0.0701,0.076,0.0888,0.0891,0.0913,0.0786,0.0611,0.0894
cluster26.oracleGeneral.zst_156594627,0.0783,0.0781,0.0781,0.0781,0.0782,0.0782,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0782,0.0784,0.0781
cluster16.oracleGeneral.zst_10791885322,0.0356,0.0139,0.0332,0.0358,0.0439,0.0314,0.0193,0.0394,0.0215,0.026,0.0313,0.033,0.0326,0.0334,0.0302,0.0248,0.0329
cluster23.oracleGeneral.zst_5333543178,0.271,0.2703,,0.2709,0.2709,0.2708,0.2708,0.2708,0.2708,,0.2708,0.2709,0.2708,0.2708,0.2709,0.2711,0.2709
cluster28.oracleGeneral.zst_5267932037,0.02,0.0124,0.018,0.017,0.0191,0.0186,0.0171,0.0177,0.0172,0.0166,0.0171,0.0159,0.0157,0.0165,0.0163,0.0175,0.0158
