,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster45.oracleGeneral.zst_227773739,0.3774,0.2994,0.3753,0.3699,0.3737,0.3901,0.3814,0.382,0.4153,0.3693,0.5123,0.4264,0.3798,0.3758,0.3678,0.3663,0.3616,0.3696,0.3602,0.3714,0.3653
cluster44.oracleGeneral.zst_5702089313,0.0681,0.0356,0.0673,0.0637,0.0636,0.0803,0.066,0.0602,0.1234,0.0646,0.4523,0.0614,0.0604,0.0643,0.0611,0.0562,0.0547,0.0594,0.058,0.0668,0.056
cluster22.oracleGeneral.zst_2030691718,0.2929,0.225,0.2913,0.2887,0.2875,0.295,0.285,0.2728,0.2882,0.2809,0.5107,0.2974,0.2964,0.2862,0.2853,0.2781,0.2673,0.278,0.2681,0.2838,0.2739
cluster42.oracleGeneral.zst_3904264364,0.073,0.0362,0.0715,0.0636,0.0719,0.0997,0.1451,0.1697,0.1337,0.0808,0.2293,0.1065,0.0641,0.0733,0.0639,0.0609,0.0573,0.0661,0.0641,0.0579,0.062
cluster43.oracleGeneral.zst_9038233795,0.0207,0.0086,0.0221,0.0209,0.0223,0.036,0.1048,0.0426,0.0979,0.0188,0.1388,0.0581,0.0207,0.0207,0.0274,0.0182,0.0176,0.0199,0.0211,0.0176,0.0179
cluster9.oracleGeneral.zst_10646675648,0.0107,0.005,0.011,0.0111,0.0105,0.0148,0.0128,0.0104,0.0615,0.0108,0.1107,0.0112,0.0103,0.01,0.0103,0.0091,0.0086,0.0099,0.009,0.0089,0.0087
cluster8.oracleGeneral.zst_1302137879,0.4686,0.3908,0.498,0.4923,0.4732,0.4765,0.5373,0.6586,0.5145,0.481,0.9564,0.4889,0.8466,0.4685,0.471,0.6986,0.6905,0.6204,0.5414,0.6997,0.698
cluster54.oracleGeneral.zst_11866133317,0.3169,0.165,0.3089,0.2973,0.3091,0.3707,0.3177,0.2687,0.438,0.3002,0.3216,0.2985,0.2876,0.317,0.2925,0.2672,0.2604,0.2815,0.2759,0.2613,0.2717
cluster36.oracleGeneral.zst_5781263748,0.1185,0.071,0.119,0.1149,0.1128,0.1277,0.1265,0.1127,0.1533,0.1134,0.3335,0.1224,0.1087,0.111,0.11,0.103,0.1027,0.1088,0.103,0.1003,0.1008
cluster10.oracleGeneral.zst_139150615,0.5,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.9348,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.0569,0.0568,0.057,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.5593,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568
cluster49.oracleGeneral.zst_799295267,0.243,0.1278,0.2572,0.2571,0.2433,0.2633,0.2668,0.2904,0.2711,0.2435,0.9358,0.6026,0.4307,0.2406,0.2516,0.2441,0.2417,0.2406,0.2323,0.2963,0.2472
cluster37.oracleGeneral.zst_3168270709,0.229,0.2254,0.2286,0.2275,0.2279,0.2295,0.2299,0.2298,0.2292,0.2275,0.2382,0.2344,0.2275,0.2282,0.2278,0.2267,0.2269,0.2268,0.2276,0.2294,0.2267
cluster31.oracleGeneral.zst_1341176720,0.9384,0.9383,0.9384,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9719,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.0336,0.0162,0.0323,0.0316,0.0337,0.0501,0.037,0.0432,0.0524,0.0464,0.2421,0.0353,0.0299,0.0349,0.032,0.0287,0.0281,0.0319,0.032,0.0288,0.0295
cluster2.oracleGeneral.zst_7226679214,0.008,0.004,0.0082,0.0092,0.0082,0.0103,0.0186,0.0326,0.0315,0.0093,0.3498,0.017,0.0079,0.0079,0.0095,0.0074,0.0074,0.0079,0.0073,0.0072,0.0073
cluster33.oracleGeneral.zst_6705048996,0.0639,0.0345,0.0611,0.0593,0.0588,0.0722,0.0623,0.0607,0.0628,0.0604,0.116,0.062,0.0569,0.0602,0.0547,0.0514,0.0486,0.0542,0.051,0.0552,0.0511
cluster13.oracleGeneral.zst_825381985,0.8907,0.8426,0.8913,0.8427,0.8426,0.8426,0.8426,0.8429,0.8426,0.8426,0.9584,0.8427,0.844,0.8426,0.8426,0.8429,0.8428,0.8427,0.8426,0.8443,0.8429
cluster29.oracleGeneral.zst_6920247859,0.0454,0.0353,0.0454,0.0443,0.0443,0.0551,0.0649,0.0501,0.0659,0.0437,0.1557,0.0467,0.0416,0.0452,0.0441,0.0401,0.0399,0.0422,0.0414,0.0423,0.0398
cluster40.oracleGeneral.zst_3847885075,0.0047,0.0031,0.0045,0.0047,0.0048,0.0057,0.0068,0.006,0.0113,0.0046,0.0263,0.0188,0.0047,0.0046,0.0049,0.0044,0.0042,0.0045,0.0045,0.0061,0.0043
cluster53.oracleGeneral.zst_246508262,0.1812,0.1036,0.1812,0.1836,0.1807,0.2258,0.2125,0.2166,0.2164,0.1942,0.4993,0.2983,0.1913,0.1808,0.1782,0.1693,0.1688,0.1754,0.1716,0.1821,0.1699
cluster1.oracleGeneral.zst_6461081324,0.0848,0.0366,0.0841,0.0808,0.0841,0.1322,0.0974,0.106,0.1417,0.0873,0.279,0.0833,0.0853,0.0847,0.077,0.072,0.071,0.0785,0.0834,0.0729,0.0719
