,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
wiki_2016u.oracleGeneral.zst_2803498585,0.0649,0.0651,0.0405,0.0749,0.0761,0.1087,0.0808,0.0635,0.0737,0.068,0.0744,0.0637,0.0803,0.0747,0.063,0.0629,0.065,0.0708,0.0608
wiki_2019t.oracleGeneral.zst_207646002,0.1853,0.1883,0.1303,0.2059,0.2152,0.2672,0.2193,0.1954,0.2124,0.2186,0.2028,0.187,0.2238,0.2118,0.1831,0.1825,0.1895,0.195,0.1833
wiki_2019u.oracleGeneral.zst_2655612611,0.1,0.1017,0.0612,0.0942,0.1173,0.1645,0.1237,0.0962,0.1118,0.1107,0.1131,0.0989,0.1233,0.1151,0.0973,0.0967,0.1004,0.1092,0.0932
