,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
wiki_2016u.oracleGeneral.zst_2803498585,0.378,0.3791,0.2935,0.376,0.4154,0.4454,0.4886,0.444,0.389,0.4439,0.4442,0.4113,0.3723,0.3795,0.4555,0.4533,0.3743,0.3734,0.3834,0.3912,0.3738
wiki_2019t.oracleGeneral.zst_207646002,0.5952,0.611,0.4666,0.6057,0.6335,0.6754,0.7169,0.6707,0.608,0.7071,0.6713,0.7196,0.601,0.6106,0.6864,0.6856,0.5928,0.5872,0.605,0.6019,0.5966
wiki_2019u.oracleGeneral.zst_2655612611,0.5398,0.5453,0.4192,0.5407,,0.6241,0.6632,0.6174,0.5541,0.6351,0.6182,0.6042,0.5333,0.5445,0.635,0.6344,0.5353,0.5321,0.5466,0.5513,0.5338
