,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.0367,0.0126,0.0331,0.0329,0.0407,0.0335,0.0234,0.0316,0.1387,0.0281,0.0289,0.0333,0.0281,0.0281,0.0275,0.0297,0.0285,0.0212,0.0271
cluster5.oracleGeneral.zst_10458446348,0.2078,0.1984,0.2116,0.2099,0.2129,0.2047,0.2036,0.2044,0.5432,0.2079,0.2079,0.2078,0.2084,0.2053,0.2025,0.2031,0.2064,0.2062,0.204
cluster4.oracleGeneral.zst_3448082328,0.0435,0.0316,0.0442,0.0432,0.0474,0.0434,0.0403,0.0423,0.1975,0.0425,0.0433,0.0424,0.0423,0.0404,0.0389,0.0407,0.0407,0.0427,0.0399
cluster50.oracleGeneral.zst_139655585,0.2069,0.1007,0.2073,0.1858,0.2173,0.199,0.1936,0.1971,0.5803,0.1806,0.199,0.1828,0.1857,0.1825,0.1866,0.1809,0.1902,0.2269,0.1934
cluster27.oracleGeneral.zst_12060815269,0.4046,0.2273,0.4268,0.4618,0.4657,0.4482,0.4328,0.4693,0.5526,0.482,0.3936,0.4456,0.4409,0.404,0.3821,0.4323,0.3985,0.3725,0.4034
cluster21.oracleGeneral.zst_1550193320,0.9403,0.9375,0.939,0.9407,0.9415,0.9394,0.9404,0.9403,0.9403,0.9398,0.9399,0.941,0.9409,0.9389,0.939,0.9397,0.9396,0.9401,0.939
cluster11.oracleGeneral.zst_2731402190,0.0973,0.0409,0.0839,0.1187,0.1442,0.1358,0.0953,0.1419,0.2437,0.0778,0.0789,0.1019,0.0845,0.0965,0.0934,0.1024,0.0863,0.068,0.0965
cluster26.oracleGeneral.zst_156594627,0.0781,0.0781,0.0781,0.0782,0.0783,0.0785,0.0782,0.0782,0.7951,0.0782,0.0781,0.0781,0.0781,0.0781,0.0782,0.0781,0.0782,0.0809,0.0781
cluster16.oracleGeneral.zst_10791885322,0.0543,0.0271,0.0555,0.0559,0.0653,0.0556,0.0547,0.0572,0.504,0.0517,0.0495,0.0569,0.0491,0.0507,0.0504,0.0509,0.0491,0.1022,0.0495
cluster23.oracleGeneral.zst_5333543178,0.2709,0.2703,,0.271,0.271,0.271,0.2709,0.2709,0.6553,0.2709,0.2713,0.2709,0.2709,0.2709,0.2708,0.2709,0.2709,0.2715,0.2709
cluster28.oracleGeneral.zst_5267932037,0.0182,0.0121,0.018,0.0181,0.0204,0.0197,0.0177,0.0195,0.1129,0.0182,0.0174,0.0179,0.0173,0.0166,0.0166,0.0173,0.0166,0.0213,0.0166
cluster48.oracleGeneral.zst_1129939853,0.3385,0.2397,0.3399,0.3475,0.3698,0.3444,0.3351,0.342,0.6343,0.3757,0.3388,0.3516,0.3395,0.3323,0.3369,0.3332,0.3458,0.3845,0.3325
cluster41.oracleGeneral.zst_3214344864,0.0853,0.0783,0.0882,0.0865,0.0897,0.0862,0.0847,0.0859,0.8252,0.0856,0.0853,0.0853,0.0854,0.0846,0.0867,0.0843,0.0905,0.1108,0.0846
cluster51.oracleGeneral.zst_6322932555,0.0042,0.0019,0.0046,0.0039,0.0064,0.0046,0.0064,0.0079,0.4454,0.0038,0.0038,0.0037,0.0039,0.0036,0.0036,0.0037,0.0041,0.004,0.0037
cluster7.oracleGeneral.zst_1044513075,0.1354,0.0709,0.1462,0.1437,0.1513,0.1391,0.1232,0.1513,0.3935,0.1207,0.1336,0.134,0.1353,0.122,0.1203,0.1382,0.1131,0.1098,0.1072
cluster3.oracleGeneral.zst_820307312,0.0167,0.0098,0.0173,0.0164,0.0206,0.0174,0.019,0.0207,0.4502,0.0166,0.0162,0.0161,0.0159,0.0154,0.0151,0.0155,0.0172,0.0197,0.0156
cluster46.oracleGeneral.zst_6610320613,0.1936,0.1752,0.1983,0.1953,0.1978,0.192,0.1902,0.1925,0.5239,0.1936,0.1936,0.1936,0.1941,0.1904,0.1899,0.1895,0.1914,0.1923,0.1895
cluster30.oracleGeneral.zst_2554900851,0.008,0.0051,0.0094,0.0079,0.0109,0.0084,0.0116,0.0127,0.2564,0.0077,0.0077,0.0077,0.0077,0.008,0.0085,0.0078,0.0096,0.0108,0.0089
cluster17.oracleGeneral.zst_9772999471,0.0051,0.0027,0.0061,0.0064,0.0098,0.0072,0.0043,0.006,0.0098,0.0058,0.0048,0.0064,0.0049,0.005,0.0049,0.0055,0.0057,0.0044,0.0049
cluster20.oracleGeneral.zst_3663259123,0.0332,0.026,,0.0399,0.0458,0.0403,0.0378,0.0395,0.0455,0.0397,0.0333,0.0411,0.0349,0.033,0.0321,0.0366,0.0348,0.0324,0.0329
cluster14.oracleGeneral.zst_3029143401,0.0342,0.0238,0.0326,0.0332,0.0386,0.0336,0.0327,0.0345,0.3785,0.0327,0.0327,0.0327,0.033,0.0316,0.0313,0.0319,0.0334,0.0375,0.0315
cluster52.oracleGeneral.zst_13426570607,0.0486,0.0302,0.0476,0.0499,0.0574,0.0489,0.0432,0.0477,0.2968,0.0491,0.0473,0.0487,0.0474,0.0445,0.0424,0.0457,0.044,0.0787,0.0432
cluster6.oracleGeneral.zst_8376428572,0.0028,0.0025,0.0027,0.0028,0.0032,0.0034,0.0054,0.006,0.4894,0.0031,0.0028,0.0027,0.0028,0.0028,0.003,0.0028,0.0036,0.0037,0.0031
cluster19.oracleGeneral.zst_2006896318,0.2396,0.1696,0.2467,0.2309,0.2465,0.2377,0.2268,0.2354,0.7487,0.2713,0.2277,0.2284,0.2306,0.2262,0.2379,0.2254,0.2501,0.3161,0.2282
cluster34.oracleGeneral.zst_2147047915,0.2859,0.1513,0.3641,0.4002,0.3764,0.3519,0.3032,0.3757,0.44,0.2081,0.2628,0.3951,0.3893,0.2911,0.2228,0.2749,0.2459,0.2065,0.2935
