,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.1878,0.116,0.189,0.1981,0.2317,0.2071,0.2127,0.1997,0.5968,0.1725,0.1857,0.2,0.1925,0.1752,0.1734,0.1845,0.174,0.1755,0.1753
cluster5.oracleGeneral.zst_10458446348,0.2513,0.211,0.2547,0.2529,0.2596,0.2455,0.2348,0.2434,0.8123,0.2441,0.2506,0.2503,0.2519,0.2427,0.2345,0.241,0.2333,0.2398,0.234
cluster4.oracleGeneral.zst_3448082328,0.1158,0.0727,0.1106,0.1149,0.137,0.1202,0.1168,0.1216,0.6053,0.1035,0.1151,0.1141,0.1116,0.1061,0.1027,0.1078,0.1036,0.1152,0.1051
cluster50.oracleGeneral.zst_139655585,0.7125,0.4924,0.7024,0.7048,0.7127,0.6855,0.7032,0.7013,0.9738,0.6521,0.8533,0.7114,0.6707,0.6623,0.67,0.6945,0.6859,0.822,0.6562
cluster27.oracleGeneral.zst_12060815269,0.6557,0.5743,0.6548,0.6705,0.689,0.6633,0.6567,0.6678,0.9221,0.6485,0.6598,0.6753,0.6592,0.6438,0.6484,0.6507,0.6557,0.6926,0.6434
cluster21.oracleGeneral.zst_1550193320,0.9424,0.9375,0.9417,0.9442,0.9467,0.9445,0.9427,0.9432,0.9625,0.9433,0.9447,0.9446,0.9443,0.9428,0.9421,0.9439,0.9435,0.954,0.9433
cluster11.oracleGeneral.zst_2731402190,0.4616,0.3358,0.4532,0.4692,0.5031,0.4705,0.444,0.463,0.7915,0.4333,0.4625,0.4716,0.4603,0.4361,0.4282,0.4447,0.4258,0.4554,0.4315
cluster26.oracleGeneral.zst_156594627,0.0794,0.0781,0.0794,0.0795,0.0841,0.0954,0.0807,0.0861,0.8996,0.0788,0.0936,0.0794,0.0794,0.0796,0.0809,0.0794,0.0898,0.238,0.0899
cluster16.oracleGeneral.zst_10791885322,0.2287,0.1355,0.2306,0.2221,0.2638,0.2313,0.2411,0.2306,0.8697,0.2052,0.2286,0.2234,0.2116,0.2025,0.2016,0.2088,0.2061,0.3713,0.2022
cluster23.oracleGeneral.zst_5333543178,0.2717,0.2703,,0.2721,0.2723,0.2739,0.2717,0.2721,0.6988,0.271,0.2831,0.2718,0.2719,0.2739,0.2736,0.2721,0.2716,0.3149,0.2737
cluster28.oracleGeneral.zst_5267932037,0.0468,0.0302,0.0438,0.0453,0.0566,0.0524,0.0737,0.0729,0.7138,0.0432,0.0464,0.0448,0.0444,0.0464,0.0464,0.0453,0.0475,0.0588,0.0481
cluster48.oracleGeneral.zst_1129939853,0.6457,0.482,0.6574,0.6605,0.6857,0.6626,0.644,0.6613,0.9736,0.6294,0.645,0.6607,0.6589,0.6355,0.624,0.6466,0.6329,0.7435,0.6296
cluster41.oracleGeneral.zst_3214344864,0.1821,0.1201,0.1815,0.1875,0.2022,0.1788,0.1711,0.1777,0.9151,0.1616,0.1817,0.1815,0.1834,0.1701,0.1573,0.1652,0.1624,0.171,0.1587
cluster51.oracleGeneral.zst_6322932555,0.1699,0.0915,0.1677,0.1677,0.2048,0.1726,0.195,0.1766,0.7374,0.1411,0.1756,0.1686,0.1606,0.1461,0.1383,0.1508,0.1437,0.1557,0.1451
cluster7.oracleGeneral.zst_1044513075,0.2175,0.1771,0.2195,0.22,0.2318,0.2263,0.2031,0.2204,0.6286,0.197,0.2223,0.2153,0.2185,0.2107,0.2078,0.219,0.1948,0.1989,0.2049
