,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster43.oracleGeneral.zst_9038233795,0.0716,0.0509,0.07,0.0716,0.0736,0.0817,0.0708,0.0686,0.0888,0.0711,0.612,0.0755,0.0716,0.0716,0.0719,0.0682,0.0673,0.0678,0.0715,0.0816,0.0669
cluster9.oracleGeneral.zst_10646675648,0.0118,0.006,0.0119,0.0111,0.0118,0.0155,0.0123,0.0101,0.0146,0.0119,0.4532,0.0105,0.0115,0.0112,0.0115,0.0103,0.0097,0.0108,0.0098,0.0097,0.0097
cluster8.oracleGeneral.zst_1302137879,0.4874,0.3435,0.4858,0.4768,0.477,0.4781,0.486,0.4373,0.5656,0.4748,0.9026,0.428,0.8729,0.4766,0.4788,0.4792,0.416,0.4384,0.4213,0.7122,0.4167
cluster54.oracleGeneral.zst_11866133317,0.1398,0.0702,0.1359,0.1378,0.1437,0.1873,0.1524,0.1266,0.1802,0.1415,0.1927,0.1283,0.1362,0.1423,0.1385,0.1274,0.121,0.1322,0.1314,0.1209,0.1248
cluster36.oracleGeneral.zst_5781263748,0.0726,0.0436,0.0715,0.077,0.0736,0.0833,0.0761,0.0654,0.0802,0.0713,0.4582,0.0712,0.0716,0.0712,0.0729,0.0679,0.0684,0.0711,0.0615,0.1138,0.0677
cluster10.oracleGeneral.zst_139150615,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.9348,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.75,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
cluster49.oracleGeneral.zst_799295267,0.1418,0.0946,0.1429,0.1388,0.1364,0.1705,0.1377,0.1711,0.2059,0.1472,0.8244,0.1287,0.1368,0.14,0.1292,0.129,0.138,0.1288,0.1484,0.1852,0.1391
cluster37.oracleGeneral.zst_3168270709,0.2263,0.22,0.2259,0.2268,0.2263,0.2282,0.2258,0.2246,0.2261,0.2255,0.606,0.2256,0.226,0.226,0.2261,0.2246,0.2239,0.2242,0.2249,0.2319,0.2242
cluster31.oracleGeneral.zst_1341176720,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9719,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.0188,0.0087,0.0181,0.0202,0.0198,0.0331,0.0222,0.0349,0.0515,0.0378,0.7628,0.0161,0.0171,0.0207,0.0184,0.0173,0.0172,0.0177,0.0207,0.0288,0.0175
cluster2.oracleGeneral.zst_7226679214,0.0081,0.0043,0.0079,0.008,0.0084,0.0097,0.0085,0.0086,0.0117,0.0087,0.6155,0.0081,0.0081,0.008,0.0081,0.0077,0.0076,0.0081,0.0079,0.0078,0.0076
cluster33.oracleGeneral.zst_6705048996,0.0295,0.0152,0.0291,0.0341,0.0315,0.0382,0.0317,0.0355,0.0409,0.0381,0.4747,0.0288,0.0287,0.0307,0.0294,0.0277,0.0253,0.028,0.0267,0.0242,0.0259
cluster13.oracleGeneral.zst_825381985,0.6282,0.6279,0.6282,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.9683,0.6279,0.6282,0.6279,0.6279,0.6279,0.628,0.6279,0.6279,0.6284,0.6279
cluster29.oracleGeneral.zst_6920247859,0.065,0.045,0.0656,0.0654,0.0675,0.0793,0.072,0.0635,0.0764,0.073,0.5084,0.0711,0.0642,0.0665,0.0648,0.0607,0.0599,0.0645,0.0592,0.0973,0.059
cluster40.oracleGeneral.zst_3847885075,0.1035,0.0793,0.102,0.1033,0.1055,0.1132,0.102,0.1005,0.1155,0.1025,0.8882,0.1073,0.1034,0.1033,0.1048,0.0994,0.0998,0.0988,0.1059,0.1278,0.0984
cluster53.oracleGeneral.zst_246508262,0.0979,0.0576,0.0964,0.0949,0.0986,0.1174,0.1022,0.0943,0.114,0.102,0.4831,0.0879,0.0968,0.0973,0.0952,0.0899,0.0865,0.0916,0.09,0.0975,0.0896
cluster1.oracleGeneral.zst_6461081324,0.0135,0.006,0.0134,0.0122,0.0138,0.0254,0.0165,0.0166,0.0302,0.0178,0.2347,0.0116,0.0132,0.0135,0.0128,0.012,0.0116,0.0126,0.0137,0.0113,0.0121
