cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.070 -1.000 0.064 0.048 0.015 0.038 -1.000 0.025 0.066 -0.042
0.010 0.043 0.042 0.036 0.030 0.010 0.026 -1.000 0.014 0.038 -0.016
0.030 0.045 0.036 0.028 0.022 0.007 0.037 -1.000 0.004 0.028 0.005
0.100 0.040 0.033 0.022 0.015 0.008 0.037 0.042 -0.005 0.021 0.014
0.200 0.029 0.028 0.021 0.006 0.006 0.033 0.044 -0.003 0.017 0.015
0.400 0.009 0.007 0.003 0.002 0.004 0.013 0.025 -0.009 -0.002 0.004
