cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.157 0.164 0.054 0.091 0.003 0.043 -0.072 0.083 0.074 -0.175
0.010 0.105 0.104 0.030 0.057 0.022 0.044 -0.083 0.061 0.040 -0.073
0.030 0.051 0.047 0.012 0.030 0.019 0.017 -0.091 0.036 0.018 -0.065
0.100 0.019 0.016 0.006 0.007 0.010 -0.004 -0.076 0.018 0.008 -0.021
0.200 0.007 0.007 0.004 0.007 0.005 -0.010 -0.052 0.010 0.006 -0.009
0.400 0.000 0.002 0.003 0.000 0.001 -0.012 -0.039 0.003 0.002 -0.004
