cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.146 0.103 0.202 0.156 0.044 0.027 0.020 0.082 0.207 -0.055
0.010 0.281 0.167 0.167 0.155 0.052 0.204 0.179 0.079 0.171 -0.022
0.030 0.321 0.253 0.107 0.059 0.034 0.265 0.246 0.036 0.117 0.031
0.100 0.368 0.146 0.243 0.183 0.019 0.312 0.308 0.037 0.249 0.176
0.200 0.493 0.134 0.251 0.182 0.014 0.476 0.472 0.054 0.252 0.341
0.400 0.170 0.157 0.091 0.157 0.051 0.229 0.228 0.023 0.081 0.136
