benchmarks FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
Twitter 0.011 0.013 0.002 0.002 0.001 -0.025 -0.021 0.004 0.003 -0.023
MetaKV 0.008 0.008 0.003 0.004 0.004 0.004 0.001 0.004 0.004 -0.002
MetaCDN 0.029 0.034 0.019 0.014 0.000 -0.004 -0.022 0.018 0.024 -0.016
TencentPhoto 0.051 0.047 0.012 0.030 0.019 0.017 -0.091 0.036 0.018 -0.065
Wikimedia 0.076 0.084 0.068 0.034 0.010 0.070 0.084 0.074 0.074 -0.011
Tencent 0.045 0.036 0.028 0.022 0.007 0.037 -1.000 0.004 0.028 0.005
Systor 0.241 0.261 0.239 0.167 0.004 0.233 0.143 0.126 0.245 0.029
fiu 0.090 0.053 0.059 0.057 0.014 0.098 0.081 0.009 0.060 0.032
MSR 0.321 0.253 0.107 0.059 0.034 0.265 0.246 0.036 0.117 0.031
Alibaba 0.111 0.108 0.088 0.079 0.010 0.103 0.096 0.025 0.089 0.040
CloudPhysics 0.207 0.149 0.148 0.125 0.015 0.177 0.154 0.048 0.151 0.037
