cachesize FlexCache S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF Hyperbolic LHD S4LRU TwoQ Clock FIFO FIFO-Merge QDLP
0.003 0.532 0.530 0.523 0.474 0.275 0.537 0.406 0.350 0.225 0.394 0.384 0.493 0.211 0.000 0.302 0.531
0.010 0.226 0.222 0.224 0.220 0.125 0.235 0.176 0.156 0.120 0.168 0.194 0.206 0.118 0.000 0.126 0.225
0.030 0.154 0.116 0.122 0.120 0.074 0.163 0.145 0.069 0.068 0.115 0.123 0.103 0.066 0.000 0.060 0.118
0.100 0.252 0.144 0.109 0.070 0.048 0.300 0.275 0.033 0.028 0.165 0.113 0.125 0.018 0.000 0.068 0.135
0.200 0.285 0.247 0.091 0.064 0.059 0.342 0.293 0.061 0.013 0.144 0.128 0.106 0.024 0.000 0.097 0.246
0.400 0.230 0.204 0.025 0.145 0.055 0.308 0.288 0.062 0.064 0.150 0.205 0.153 0.031 0.000 0.149 0.216
