benchmarks FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter 0.005 0.005 -0.000 0.000 0.001 0.002 -0.001 0.004
MetaKV 0.004 0.004 0.003 0.001 0.003 0.003 -0.002 0.003
MetaCDN 0.021 0.018 0.020 0.010 0.000 0.008 -0.009 0.008
TencentPhoto 0.007 0.007 0.004 0.007 0.005 -0.010 -0.052 0.010
Wikimedia 0.017 0.017 0.017 0.007 0.006 0.018 0.018 0.014
Tencent 0.029 0.028 0.021 0.006 0.006 0.033 0.044 -0.003
Systor 0.021 0.021 0.015 0.014 0.008 0.013 -0.013 0.003
fiu 0.269 0.232 0.078 0.051 0.046 0.326 0.277 0.048
MSR 0.493 0.134 0.251 0.182 0.014 0.476 0.472 0.054
Alibaba 0.037 0.031 0.023 0.023 0.010 0.041 0.037 0.003
CloudPhysics 0.158 0.096 0.090 0.070 0.015 0.170 0.165 0.033
