cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.127 0.147 0.124 0.098 0.005 0.107 0.061 0.066
0.010 0.194 0.219 0.228 0.140 0.008 0.217 0.090 0.082
0.030 0.241 0.261 0.239 0.167 0.004 0.233 0.143 0.126
0.100 0.118 0.127 0.152 0.034 0.004 0.171 0.128 0.066
0.200 0.021 0.021 0.015 0.014 0.008 0.013 -0.013 0.003
0.400 0.010 0.011 0.012 0.006 0.004 0.010 -0.008 0.007
