cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU
0.003 0.028 0.030 0.014 0.013 0.007 0.016 0.019
0.010 0.015 0.016 0.006 0.008 0.005 0.009 -0.002
0.030 0.008 0.008 0.003 0.004 0.004 0.004 0.001
0.100 0.005 0.005 0.001 0.002 0.002 0.002 -0.007
0.200 0.004 0.004 0.003 0.001 0.003 0.003 -0.002
0.400 0.001 0.000 0.001 0.000 0.000 -0.000 -0.002
