cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.211 0.213 0.198 0.151 0.020 0.134 0.109 0.061
0.010 0.184 0.166 0.155 0.130 0.022 0.130 0.082 0.049
0.030 0.207 0.149 0.148 0.125 0.015 0.177 0.154 0.048
0.100 0.217 0.176 0.128 0.118 0.022 0.216 0.207 0.074
0.200 0.158 0.096 0.090 0.070 0.015 0.170 0.165 0.033
0.400 0.144 0.088 0.054 0.050 0.014 0.167 0.157 0.033
