benchmarks FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter 0.011 0.016 0.004 -0.001 0.002 0.000 0.002 0.010
MetaKV 0.005 0.005 0.001 0.002 0.002 0.002 -0.007 0.003
MetaCDN 0.037 0.037 0.022 0.016 0.000 0.012 -0.009 0.016
TencentPhoto 0.019 0.016 0.006 0.007 0.010 -0.004 -0.076 0.018
Wikimedia 0.031 0.034 0.029 0.021 0.010 0.031 0.036 0.029
Tencent 0.040 0.033 0.022 0.015 0.008 0.037 0.042 -0.005
Systor 0.118 0.127 0.152 0.034 0.004 0.171 0.128 0.066
fiu 0.237 0.130 0.095 0.056 0.034 0.284 0.259 0.020
MSR 0.368 0.146 0.243 0.183 0.019 0.312 0.308 0.037
Alibaba 0.060 0.056 0.044 0.040 0.016 0.065 0.051 0.005
CloudPhysics 0.217 0.176 0.128 0.118 0.022 0.216 0.207 0.074
