cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.003 0.007 0.008 -0.001 0.008 -0.088 -0.073 0.004 0.011 -0.063
0.010 0.013 0.014 0.006 0.005 0.007 -0.043 -0.041 0.008 0.008 -0.035
0.030 0.011 0.013 0.002 0.002 0.001 -0.025 -0.021 0.004 0.003 -0.023
0.100 0.011 0.014 0.004 -0.001 0.002 0.000 0.002 0.009 0.005 -0.002
0.200 0.005 0.004 -0.000 0.000 0.001 0.002 -0.001 0.004 0.000 -0.004
0.400 0.002 0.001 0.000 -0.001 0.001 0.001 -0.002 0.001 0.000 -0.002
