,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
wiki_2016u.oracleGeneral.zst_2803498585,0.046,0.0463,0.0292,0.0506,0.0566,0.086,0.0248,0.0185,0.0547,0.0277,0.0442,0.0517,0.0447,0.0446,0.0515,0.0499,0.0419
wiki_2019t.oracleGeneral.zst_207646002,0.1912,0.1951,0.1347,0.2085,0.2218,0.2731,0.2065,0.1805,0.2189,0.2372,0.1958,0.208,0.1888,0.1884,0.2046,0.2025,0.1959
wiki_2019u.oracleGeneral.zst_2655612611,0.0508,0.0521,0.0328,0.0577,0.0665,0.1062,0.0344,0.0247,0.0634,0.0312,0.0507,0.0597,0.0497,0.0494,0.0591,0.0561,0.0455
