,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
wiki_2016u.oracleGeneral.zst_2803498585,0.6431,0.6439,0.5188,0.6831,0.7369,0.775,0.7415,0.7443,0.7335,0.6451,0.7453,0.6652,0.7486,0.6869,0.6383,0.6376,0.686,0.6582,0.6616
wiki_2019t.oracleGeneral.zst_207646002,0.5554,0.6342,0.4221,0.5992,0.6395,0.6882,0.6516,0.6072,0.6312,0.6266,0.7044,0.5852,0.6525,0.5954,0.5512,0.5468,0.6016,0.5652,0.5599
wiki_2019u.oracleGeneral.zst_2655612611,0.5932,0.6108,0.4701,0.639,0.6824,0.7257,0.6878,0.6999,0.6804,0.6245,0.7239,0.6266,0.6941,0.6457,0.5909,0.5853,0.6345,0.6028,0.6191
