,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst,0.1787,0.1902,0.4144,0.6392,0.3198,0.6369,0.6465,0.6522,0.5055,0.6438,0.6319,0.4384,0.3327,0.6469,0.4553,0.4748,0.4154,0.6415,0.351
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.065,0.0656,0.0773,0.0777,0.0632,0.0853,0.0859,0.0928,0.1191,0.0779,0.0969,0.0805,0.082,0.0801,0.0746,0.0772,0.0735,0.0934,0.1073
fiu_ikki-110108-112108.oracleGeneral.zst,0.191,0.1926,0.2026,0.2052,0.1804,0.2154,0.215,0.2591,0.2492,0.2134,0.2256,0.2299,0.2223,0.2141,0.2061,0.2182,0.2094,0.2405,0.257
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.0478,0.0499,0.1458,0.2372,0.0751,0.2462,0.2063,0.2666,0.1787,0.1669,0.2025,0.1304,0.0988,0.2053,0.1448,0.1461,0.1527,0.1821,0.1102
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.0836,0.0924,0.193,0.3166,0.1426,0.2346,0.3136,0.3449,0.2987,0.2642,0.3062,0.2315,0.1595,0.2659,0.2201,0.2198,0.2119,0.2364,0.1553
fiu_casa-110108-112108.oracleGeneral.zst,0.0373,0.0385,0.0567,0.0488,0.0384,0.0555,0.0582,0.0765,0.0683,0.0642,0.064,0.0531,0.0478,0.0482,0.0508,0.0546,0.0524,0.0625,0.0574
fiu_webusers-030409-033109.oracleGeneral.zst,0.0663,0.0713,0.1227,0.2847,0.1008,0.3316,0.2579,0.3374,0.2974,0.138,0.3278,0.1885,0.1152,0.1446,0.176,0.1734,0.3487,0.1868,0.1144
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.0368,0.0374,0.0464,0.0468,0.0348,0.0463,0.0492,0.0589,0.0575,0.0475,0.0489,0.0537,0.047,0.0497,0.0467,0.0471,0.0467,0.0525,0.0511
fiu_madmax-110108-112108.oracleGeneral.zst,0.1254,0.1187,0.4835,0.8059,0.2593,0.4235,0.7999,0.7828,0.5174,0.796,0.699,0.7125,0.3046,0.7976,0.5188,0.5341,0.4728,0.4889,0.3058
fiu_homes-110108-112108.oracleGeneral.zst,0.1023,0.1035,0.1167,0.1156,0.0944,0.121,0.1181,0.1476,0.1446,0.1208,0.1338,0.128,0.1264,0.12,0.1152,0.1211,0.1259,0.1293,0.1563
