freq num average numcdf
213 10668 44642300.000 10039663
214 10922 44781500.000 10050585
215 10915 44267200.000 10061500
216 11125 44274000.000 10072625
217 11121 44083600.000 10083746
218 10898 44065300.000 10094644
219 11116 43820300.000 10105760
220 11181 43653600.000 10116941
221 11451 43634100.000 10128392
222 11202 43552200.000 10139594
223 11435 43425800.000 10151029
224 11349 43438100.000 10162378
225 11360 43121800.000 10173738
226 11403 42782800.000 10185141
227 11438 42721100.000 10196579
228 11527 42710900.000 10208106
229 11483 42622200.000 10219589
230 11421 42316500.000 10231010
231 11497 42368800.000 10242507
232 11562 42100600.000 10254069
233 11677 41962700.000 10265746
234 11579 41655400.000 10277325
235 11632 41710400.000 10288957
236 11587 41563800.000 10300544
237 11727 41443900.000 10312271
238 11529 41071700.000 10323800
239 11686 41104900.000 10335486
240 11729 40918800.000 10347215
241 11640 40831000.000 10358855
242 11383 40648400.000 10370238
243 11521 40563300.000 10381759
244 11584 40394600.000 10393343
245 11438 40294800.000 10404781
246 11585 40113600.000 10416366
247 11610 39842000.000 10427976
248 11817 39813500.000 10439793
249 11629 39721100.000 10451422
250 11460 39598000.000 10462882
251 11564 39407000.000 10474446
252 11474 39256400.000 10485920
253 11327 39047000.000 10497247
254 11209 38986900.000 10508456
255 11405 38826700.000 10519861
256 11504 38784800.000 10531365
257 11356 38736700.000 10542721
258 11498 38294600.000 10554219
259 11301 38376000.000 10565520
260 11043 38329000.000 10576563
261 11381 38068700.000 10587944
262 11308 37950800.000 10599252
263 11193 37802800.000 10610445
264 10974 37658300.000 10621419
265 11149 37635600.000 10632568
266 11303 37450500.000 10643871
267 11123 37416100.000 10654994
268 11223 37206400.000 10666217
269 11060 37134500.000 10677277
270 11025 37006600.000 10688302
271 11227 36928300.000 10699529
272 11117 36787500.000 10710646
273 11004 36709900.000 10721650
274 11003 36458600.000 10732653
275 11057 36382000.000 10743710
276 10959 36313300.000 10754669
277 11058 36235000.000 10765727
278 10885 35930600.000 10776612
279 11046 35972400.000 10787658
280 11057 35780100.000 10798715
281 10921 35811300.000 10809636
282 10859 35536800.000 10820495
283 10868 35527100.000 10831363
284 10982 35241500.000 10842345
285 10900 35228400.000 10853245
286 10718 35139300.000 10863963
287 10874 35078600.000 10874837
288 10663 34837800.000 10885500
289 10632 34842100.000 10896132
290 10700 34516600.000 10906832
291 10579 34578400.000 10917411
292 10422 34300200.000 10927833
293 10295 34265000.000 10938128
294 10226 34148900.000 10948354
295 10471 34112300.000 10958825
296 10286 33936000.000 10969111
297 10177 33764000.000 10979288
298 10143 33733800.000 10989431
299 9845 33618200.000 10999276
300 9958 33540200.000 11009234
301 9738 33356400.000 11018972
302 9675 33295400.000 11028647
303 9619 33133300.000 11038266
304 9599 33097300.000 11047865
305 9670 33088400.000 11057535
306 9348 32798400.000 11066883
307 9460 32621900.000 11076343
308 9363 32647300.000 11085706
309 9018 32514400.000 11094724
310 9172 32432000.000 11103896
311 8848 32084200.000 11112744
312 9071 32205900.000 11121815
313 8802 31999000.000 11130617
