index FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
w32.oracleGeneral.bin.zst_20776392 0.965 1.000 0.954 0.922 0.887 0.905 0.966 0.903
w24.oracleGeneral.bin.zst_27165370 0.997 0.998 0.997 0.983 0.953 0.984 0.942 0.962
w59.oracleGeneral.bin.zst_10223136 0.969 0.961 0.997 0.911 0.690 1.000 0.712 0.770
w106.oracleGeneral.bin.zst_3275919 0.988 0.998 0.984 0.977 0.968 0.977 0.996 0.975
w17.oracleGeneral.bin.zst_31398089 0.989 0.989 1.000 0.992 0.989 0.989 0.973 0.924
w88.oracleGeneral.bin.zst_4711053 0.994 0.997 0.992 0.992 0.990 0.971 0.978 0.993
w85.oracleGeneral.bin.zst_4790048 0.990 0.996 1.000 0.960 0.757 0.990 0.908 0.808
w80.oracleGeneral.bin.zst_5256246 0.951 1.000 0.963 0.817 0.854 0.966 0.993 0.864
w65.oracleGeneral.bin.zst_9316229 1.000 0.475 0.500 0.527 0.331 0.985 0.884 0.347
w31.oracleGeneral.bin.zst_21166982 1.000 0.690 0.714 0.744 0.572 0.979 0.821 0.609
w46.oracleGeneral.bin.zst_11550125 0.992 0.986 1.000 0.998 0.957 0.978 0.931 0.981
w76.oracleGeneral.bin.zst_6076272 0.976 1.000 0.956 0.960 0.954 0.959 0.983 0.965
w100.oracleGeneral.bin.zst_3645877 0.992 0.999 0.954 0.943 0.921 0.950 1.000 0.936
w14.oracleGeneral.bin.zst_34816425 0.980 0.997 0.962 0.968 0.958 0.926 0.962 0.977
w62.oracleGeneral.bin.zst_9497745 0.782 0.326 0.369 0.498 0.332 0.780 1.000 0.338
w33.oracleGeneral.bin.zst_19868346 0.969 0.977 0.958 0.956 0.959 0.956 1.000 0.950
w67.oracleGeneral.bin.zst_9028144 0.983 0.995 0.982 0.976 0.975 0.983 1.000 0.980
w49.oracleGeneral.bin.zst_11151558 0.937 1.000 0.933 0.931 0.919 0.920 0.981 0.936
w55.oracleGeneral.bin.zst_8855434 0.997 1.000 0.994 0.991 0.980 0.977 0.982 0.985
w73.oracleGeneral.bin.zst_6368815 0.961 0.978 0.974 0.881 0.799 0.986 1.000 0.837
w89.oracleGeneral.bin.zst_3625918 0.997 1.000 0.976 0.979 0.964 0.967 0.975 0.966
w09.oracleGeneral.bin.zst_49622929 0.989 1.000 0.968 0.974 0.971 0.970 0.963 0.979
w45.oracleGeneral.bin.zst_15064629 0.982 0.981 0.981 0.982 0.980 0.979 1.000 0.980
w90.oracleGeneral.bin.zst_4493515 0.821 0.696 0.680 0.665 0.629 0.683 1.000 0.654
w36.oracleGeneral.bin.zst_18915625 0.968 0.975 0.959 0.958 0.961 0.957 1.000 0.951
w05.oracleGeneral.bin.zst_73034546 0.956 1.000 0.971 0.969 0.976 0.906 0.773 0.976
w43.oracleGeneral.bin.zst_15617420 0.986 0.997 0.959 0.857 0.727 0.966 1.000 0.807
w04.oracleGeneral.bin.zst_77764582 0.991 1.000 0.971 0.978 0.973 0.965 0.954 0.987
w07.oracleGeneral.bin.zst_67427405 0.996 0.983 0.982 0.911 0.864 0.987 0.975 0.950
w92.oracleGeneral.bin.zst_4284658 1.000 0.994 0.991 0.933 0.896 0.997 0.991 0.899
w74.oracleGeneral.bin.zst_6343762 0.993 0.996 0.991 0.989 0.986 0.991 1.000 0.988
w11.oracleGeneral.bin.zst_46173369 0.901 0.891 1.000 0.905 0.929 0.929 0.664 0.938
w29.oracleGeneral.bin.zst_19087784 1.000 0.955 0.996 0.977 0.974 0.991 0.743 0.939
