trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w61.oracleGeneral.bin.zst 0.3700 4.3589 0.2419 0.6439 0.2671 0.4564
w62.oracleGeneral.bin.zst 0.6962 1.4202 0.5834 0.3374 0.6474 0.0665
w63.oracleGeneral.bin.zst 0.5858 1.1447 0.5443 0.3551 0.6035 0.1583
w64.oracleGeneral.bin.zst 0.8705 1.0062 0.8921 0.3326 0.8948 0.0366
w66.oracleGeneral.bin.zst 0.1305 11.7855 0.0465 1.0307 0.0488 1.9031
w67.oracleGeneral.bin.zst 0.1078 3.3961 0.0747 1.0853 0.0769 0.8568
w68.oracleGeneral.bin.zst 0.1590 1.4639 0.1080 0.4335 0.1253 0.2438
w69.oracleGeneral.bin.zst 0.2924 1.6684 0.2348 0.5424 0.2631 0.3878
w70.oracleGeneral.bin.zst 0.1177 1.2324 0.0820 0.5110 0.0969 0.2738
w71.oracleGeneral.bin.zst 0.2036 2.2009 0.1340 0.4208 0.1496 0.4452
w72.oracleGeneral.bin.zst 0.1862 2.8605 0.1323 0.9855 0.1373 0.7509
w73.oracleGeneral.bin.zst 0.1948 1.7970 0.1784 0.7206 0.1913 0.5642
w74.oracleGeneral.bin.zst 0.1191 3.5596 0.0926 1.2428 0.0970 1.0264
w75.oracleGeneral.bin.zst 0.1025 1.2760 0.0749 0.5160 0.0877 0.2816
w76.oracleGeneral.bin.zst 0.1578 1.3120 0.1237 0.5271 0.1518 0.3070
w77.oracleGeneral.bin.zst 0.2937 1.6641 0.2545 0.6232 0.2740 0.3981
w78.oracleGeneral.bin.zst 0.2555 1.4147 0.2416 0.7573 0.2415 0.5327
w79.oracleGeneral.bin.zst 0.8938 1.0456 0.8643 0.3100 0.8909 0.0052
w80.oracleGeneral.bin.zst 0.4599 6.5055 0.3856 2.7838 0.3552 1.5097
w81.oracleGeneral.bin.zst 0.6912 5.8621 0.4524 0.3473 0.6260 0.0322
w82.oracleGeneral.bin.zst 0.2951 16.8416 0.1527 4.0003 0.1494 3.8326
w83.oracleGeneral.bin.zst 0.3465 1.9643 0.2861 0.3373 0.3264 0.1059
w84.oracleGeneral.bin.zst 0.2181 1.3048 0.1803 0.4468 0.2033 0.3109
w85.oracleGeneral.bin.zst 0.8110 6.6049 0.5292 0.3154 0.7757 0.0188
w86.oracleGeneral.bin.zst 0.9257 1.0424 0.9108 0.3056 0.9326 0.0312
w87.oracleGeneral.bin.zst 0.7006 1.4154 0.6461 0.4122 0.6959 0.2441
w88.oracleGeneral.bin.zst 0.1778 2.1268 0.1546 0.8398 0.1659 0.6338
w89.oracleGeneral.bin.zst 0.2635 1.1316 0.2361 0.4302 0.2629 0.1774
w90.oracleGeneral.bin.zst 0.2442 2.5720 0.2318 1.1240 0.2540 0.7840
w91.oracleGeneral.bin.zst 0.2113 1.2876 0.1523 0.3688 0.2092 0.2472
w92.oracleGeneral.bin.zst 0.8249 5.8817 0.5602 0.3123 0.8111 0.0052
w93.oracleGeneral.bin.zst 0.7353 3.4408 0.5358 0.4658 0.6128 0.2323
w94.oracleGeneral.bin.zst 0.3803 2.5363 0.3190 0.6460 0.3476 0.7467
w95.oracleGeneral.bin.zst 0.2043 1.8688 0.1796 0.6342 0.1961 0.5301
w96.oracleGeneral.bin.zst 0.2981 1.5485 0.2003 0.6440 0.2376 0.4645
w97.oracleGeneral.bin.zst 0.5771 1.1975 0.5521 0.3823 0.6138 0.1239
w98.oracleGeneral.bin.zst 0.5787 1.2213 0.5502 0.3934 0.6095 0.1207
w99.oracleGeneral.bin.zst 0.6411 5.2840 0.4453 0.3440 0.6222 0.0218
