,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
2016_LUN3.oracleGeneral.zst_609867155,0.6529,0.686,0.5152,0.6765,0.7163,0.734,0.6619,0.5623,0.7152,0.5492,0.6513,0.7197,0.6475,0.6454,0.6411,0.661,0.6443
2016_LUN6.oracleGeneral.zst_655119703,0.6508,0.6719,0.4917,0.6595,0.6995,0.7276,0.6383,0.5408,0.7016,0.5277,0.6444,0.698,0.6394,0.6402,0.6186,0.6558,0.6266
2016_LUN1.oracleGeneral.zst_492030661,0.6228,0.6462,0.4969,0.647,0.6961,0.7151,0.6406,0.5358,0.6951,0.5237,0.6205,0.6983,0.6196,0.6162,0.6096,0.634,0.6107
2016_LUN0.oracleGeneral.zst_552023811,0.6195,0.6522,0.4831,0.6387,0.6805,0.7007,0.6245,0.5233,0.6801,0.5059,0.6135,0.6833,0.6127,0.6081,0.599,0.6228,0.6056
2016_LUN2.oracleGeneral.zst_691221362,0.6176,0.6611,0.4967,0.644,0.684,0.6976,0.6304,0.5309,0.6834,0.5086,0.6157,0.6854,0.6125,0.6091,0.6064,0.623,0.6047
2016_LUN4.oracleGeneral.zst_530623433,0.6507,0.6963,0.5115,0.6736,0.7306,0.7521,0.6625,0.5441,0.7289,0.5219,0.6447,0.7337,0.6476,0.6464,0.6297,0.6627,0.6393
