cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.951 0.940 0.814 0.894 0.779 0.866 0.876 0.745 0.822 0.677
0.010 0.963 0.917 0.846 0.893 0.780 0.912 0.911 0.743 0.853 0.705
0.030 0.957 0.897 0.849 0.866 0.765 0.940 0.934 0.768 0.859 0.731
0.100 0.967 0.880 0.818 0.832 0.760 0.959 0.950 0.790 0.823 0.793
0.200 0.951 0.869 0.829 0.843 0.755 0.963 0.954 0.810 0.833 0.830
0.400 0.957 0.854 0.825 0.818 0.800 0.978 0.965 0.838 0.831 0.880
