policy P1 P5 P10 P50 average
FlexCache 0.321 0.820 0.915 0.998 0.950
S3FIFO 0.264 0.733 0.900 0.996 0.938
ARC 0.133 0.409 0.684 0.960 0.854
Cacheus 0.444 0.682 0.813 0.986 0.930
LeCaR 0.150 0.423 0.640 0.974 0.857
LIRS 0.253 0.479 0.729 0.960 0.875
WTinyLFU 0.253 0.469 0.636 0.922 0.839
GDSF 0.207 0.359 0.501 0.898 0.000
Hyperbolic 0.135 0.387 0.603 0.952 0.834
LHD 0.373 0.486 0.626 0.828 0.000
S4LRU 0.166 0.363 0.591 0.981 0.854
TwoQ 0.221 0.616 0.819 0.991 0.911
Clock 0.129 0.384 0.608 0.958 0.836
FIFO 0.130 0.366 0.583 0.902 0.000
FIFO-Merge 0.184 0.446 0.636 0.935 0.835
