policy P1 P5 P10 P50 average
FlexCache 0.846 0.937 0.955 0.994 0.982
S3FIFO 0.634 0.891 0.914 0.994 0.971
ARC 0.466 0.896 0.915 0.990 0.963
Cacheus 0.561 0.792 0.868 0.994 0.959
LeCaR 0.464 0.886 0.905 0.994 0.960
LIRS 0.910 0.956 0.963 0.992 0.985
WTinyLFU 0.850 0.939 0.957 0.991 0.982
GDSF 0.617 0.780 0.813 0.970 0.933
Hyperbolic 0.574 0.874 0.902 0.981 0.954
LHD 0.690 0.831 0.845 0.953 0.934
S4LRU 0.821 0.908 0.925 0.993 0.975
TwoQ 0.589 0.874 0.898 0.976 0.954
Clock 0.464 0.884 0.905 0.993 0.957
FIFO 0.506 0.797 0.870 0.950 0.922
FIFO-Merge 0.716 0.824 0.840 0.960 0.938
