policy P1 P5 P10 P50 average
FlexCache 0.866 0.924 0.948 0.995 0.983
S3FIFO 0.764 0.906 0.940 0.995 0.975
ARC 0.630 0.891 0.932 0.992 0.968
Cacheus 0.610 0.890 0.936 0.994 0.969
LeCaR 0.619 0.873 0.922 0.995 0.965
LIRS 0.896 0.943 0.960 0.993 0.985
WTinyLFU 0.876 0.948 0.966 0.995 0.986
GDSF 0.727 0.798 0.848 0.978 0.946
Hyperbolic 0.625 0.847 0.882 0.978 0.951
LHD 0.751 0.835 0.866 0.956 0.936
S4LRU 0.821 0.895 0.921 0.992 0.975
TwoQ 0.732 0.899 0.927 0.983 0.962
Clock 0.587 0.863 0.906 0.991 0.960
FIFO 0.585 0.848 0.877 0.964 0.935
FIFO-Merge 0.747 0.815 0.847 0.963 0.940
