policy P1 P5 P10 P50 average
FlexCache 0.690 0.791 0.852 0.977 0.952
S3FIFO 0.123 0.474 0.738 0.972 0.868
ARC 0.143 0.370 0.599 0.940 0.829
Cacheus 0.156 0.400 0.645 0.937 0.843
LeCaR 0.070 0.310 0.414 0.893 0.754
LIRS 0.649 0.827 0.855 0.989 0.964
WTinyLFU 0.614 0.853 0.874 0.977 0.955
GDSF 0.330 0.428 0.521 0.884 0.809
Hyperbolic 0.069 0.314 0.417 0.891 0.767
LHD 0.486 0.595 0.648 0.822 0.804
S4LRU 0.590 0.761 0.814 0.962 0.922
TwoQ 0.101 0.425 0.663 0.934 0.827
Clock 0.071 0.308 0.412 0.888 0.753
FIFO 0.068 0.306 0.404 0.845 0.721
FIFO-Merge 0.188 0.439 0.554 0.870 0.806
