policy P1 P5 P10 P50 average
FlexCache 0.685 0.884 0.926 0.988 0.971
S3FIFO 0.143 0.551 0.728 0.975 0.886
ARC 0.162 0.453 0.628 0.939 0.850
Cacheus 0.158 0.504 0.681 0.936 0.862
LeCaR 0.113 0.376 0.488 0.903 0.789
LIRS 0.612 0.838 0.876 0.984 0.959
WTinyLFU 0.676 0.818 0.867 0.978 0.951
GDSF 0.165 0.480 0.605 0.861 0.793
Hyperbolic 0.115 0.374 0.509 0.890 0.774
LHD 0.406 0.519 0.589 0.792 0.758
S4LRU 0.448 0.778 0.807 0.957 0.924
TwoQ 0.125 0.376 0.635 0.948 0.831
Clock 0.114 0.362 0.496 0.883 0.772
FIFO 0.108 0.342 0.481 0.856 0.741
FIFO-Merge 0.113 0.368 0.549 0.856 0.784
