cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.956 0.983 0.871 0.881 0.818 0.915 0.912 0.992
0.010 0.936 0.997 0.775 0.811 0.649 0.911 0.918 0.909
0.030 0.973 1.000 0.911 0.871 0.686 0.922 0.925 0.929
0.100 0.945 0.978 0.941 0.890 0.750 0.994 0.956 0.883
0.200 0.997 0.996 0.986 0.985 0.986 0.992 0.968 0.971
0.400 0.989 0.990 0.990 0.982 0.963 0.998 0.972 0.992
