policy P1 P5 P10 P50 average
FlexCache 0.778 0.894 0.943 0.991 0.975
S3FIFO 0.776 0.909 0.941 0.991 0.974
ARC 0.568 0.767 0.859 0.976 0.939
Cacheus 0.695 0.849 0.889 0.980 0.952
LeCaR 0.500 0.757 0.810 0.978 0.928
LIRS 0.857 0.913 0.939 0.989 0.975
WTinyLFU 0.780 0.900 0.930 0.990 0.973
GDSF 0.508 0.722 0.776 0.918 0.884
Hyperbolic 0.543 0.750 0.801 0.953 0.910
LHD 0.556 0.684 0.734 0.867 0.846
S4LRU 0.638 0.842 0.867 0.975 0.939
TwoQ 0.691 0.865 0.921 0.988 0.964
Clock 0.472 0.732 0.793 0.973 0.920
FIFO 0.485 0.719 0.776 0.939 0.896
FIFO-Merge 0.648 0.743 0.783 0.934 0.901
