cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.994 1.000 0.908 0.930 0.948 0.890 0.873 0.799 0.920 0.610
0.010 1.000 1.000 0.930 0.949 0.972 0.939 0.903 0.857 0.936 0.664
0.030 1.000 0.996 0.944 0.972 0.990 0.966 0.918 0.921 0.946 0.814
0.100 1.000 0.998 0.954 0.989 0.999 0.978 0.929 0.972 0.955 0.942
0.200 0.999 0.998 0.966 0.994 1.000 0.983 0.949 0.987 0.966 0.973
0.400 0.998 1.000 0.992 0.997 0.999 0.987 0.958 0.995 0.992 0.983
