policy P1 P5 P10 P50 average
FlexCache 0.858 0.904 0.929 0.979 0.969
S3FIFO 0.606 0.774 0.866 0.984 0.948
ARC 0.518 0.733 0.774 0.977 0.926
Cacheus 0.586 0.763 0.791 0.980 0.933
LeCaR 0.541 0.702 0.736 0.974 0.917
LIRS 0.815 0.946 0.957 0.989 0.979
WTinyLFU 0.771 0.888 0.925 0.983 0.967
GDSF 0.474 0.729 0.761 0.893 0.875
Hyperbolic 0.525 0.687 0.772 0.931 0.893
LHD 0.591 0.706 0.765 0.898 0.878
S4LRU 0.763 0.847 0.887 0.976 0.951
TwoQ 0.589 0.749 0.789 0.970 0.932
Clock 0.480 0.677 0.726 0.967 0.909
FIFO 0.452 0.633 0.700 0.918 0.862
FIFO-Merge 0.701 0.776 0.788 0.911 0.892
