policy P1 P5 P10 P50 average
FlexCache 0.485 0.787 0.893 0.991 0.951
S3FIFO 0.402 0.743 0.875 0.994 0.944
ARC 0.188 0.496 0.679 0.956 0.862
Cacheus 0.473 0.696 0.828 0.970 0.924
LeCaR 0.209 0.451 0.670 0.947 0.854
LIRS 0.273 0.489 0.621 0.890 0.000
WTinyLFU 0.259 0.420 0.520 0.824 0.000
GDSF 0.284 0.469 0.564 0.859 0.000
Hyperbolic 0.182 0.418 0.601 0.909 0.000
LHD 0.391 0.511 0.579 0.785 0.000
S4LRU 0.368 0.628 0.754 0.958 0.897
TwoQ 0.297 0.622 0.785 0.988 0.913
Clock 0.174 0.413 0.604 0.916 0.000
FIFO 0.169 0.399 0.556 0.836 0.000
FIFO-Merge 0.229 0.470 0.615 0.896 0.000
