policy P1 P5 P10 P50 average
FlexCache 0.481 0.790 0.897 0.991 0.951
S3FIFO 0.402 0.728 0.882 0.995 0.944
ARC 0.173 0.472 0.685 0.954 0.858
Cacheus 0.473 0.705 0.832 0.969 0.927
LeCaR 0.188 0.469 0.679 0.946 0.854
LIRS 0.270 0.475 0.621 0.883 0.000
WTinyLFU 0.259 0.421 0.517 0.809 0.000
GDSF 0.279 0.467 0.563 0.854 0.000
Hyperbolic 0.167 0.420 0.606 0.907 0.000
LHD 0.418 0.512 0.583 0.774 0.000
S4LRU 0.335 0.635 0.749 0.956 0.894
TwoQ 0.287 0.605 0.784 0.989 0.911
Clock 0.161 0.413 0.607 0.915 0.000
FIFO 0.153 0.391 0.568 0.833 0.000
FIFO-Merge 0.218 0.480 0.615 0.895 0.000
