cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.901 0.904 0.933 0.922 0.950 0.850 0.871 0.820
0.010 0.962 0.967 0.962 0.962 0.977 0.937 0.948 0.923
0.030 0.983 0.987 0.971 0.983 0.985 0.958 0.970 0.965
0.100 0.995 0.998 0.985 0.989 0.989 0.975 0.985 0.981
0.200 0.996 0.999 0.991 0.991 0.991 0.983 0.990 0.988
0.400 0.999 0.999 0.996 0.994 0.994 0.993 0.997 0.994
