policy P1 P5 P10 P50 average
FlexCache 0.769 0.915 0.925 0.978 0.966
S3FIFO 0.647 0.780 0.821 0.984 0.951
ARC 0.527 0.757 0.803 0.965 0.919
Cacheus 0.530 0.783 0.812 0.963 0.923
LeCaR 0.520 0.682 0.771 0.940 0.886
LIRS 0.719 0.925 0.934 0.988 0.972
WTinyLFU 0.637 0.871 0.911 0.984 0.961
GDSF 0.508 0.676 0.734 0.879 0.853
Hyperbolic 0.374 0.663 0.746 0.901 0.861
LHD 0.464 0.661 0.697 0.869 0.842
S4LRU 0.657 0.832 0.857 0.954 0.933
TwoQ 0.561 0.752 0.782 0.968 0.924
Clock 0.346 0.650 0.741 0.934 0.869
FIFO 0.330 0.622 0.670 0.878 0.820
FIFO-Merge 0.555 0.723 0.755 0.895 0.867
