policy P1 P5 P10 P50 average
FlexCache 0.732 0.897 0.933 0.987 0.969
S3FIFO 0.658 0.876 0.911 0.976 0.956
ARC 0.420 0.791 0.848 0.962 0.925
Cacheus 0.511 0.777 0.838 0.955 0.925
LeCaR 0.309 0.477 0.678 0.935 0.855
LIRS 0.542 0.876 0.893 0.982 0.957
WTinyLFU 0.543 0.798 0.868 0.975 0.944
GDSF 0.347 0.578 0.625 0.878 0.822
Hyperbolic 0.302 0.489 0.613 0.888 0.813
LHD 0.293 0.566 0.617 0.860 0.813
S4LRU 0.562 0.773 0.802 0.956 0.919
TwoQ 0.580 0.810 0.865 0.958 0.931
Clock 0.299 0.476 0.644 0.902 0.828
FIFO 0.302 0.440 0.590 0.862 0.788
FIFO-Merge 0.447 0.577 0.654 0.900 0.840
QDLP 0.616 0.878 0.909 0.979 0.957
