policy P1 P5 P10 P50 average
FlexCache 0.573 0.817 0.914 0.987 0.958
S3FIFO 0.280 0.580 0.843 0.980 0.924
ARC 0.206 0.542 0.666 0.939 0.868
Cacheus 0.153 0.585 0.754 0.942 0.878
LeCaR 0.045 0.445 0.621 0.902 0.803
LIRS 0.555 0.805 0.854 0.972 0.939
WTinyLFU 0.532 0.759 0.793 0.977 0.934
GDSF 0.283 0.454 0.554 0.842 0.778
Hyperbolic 0.110 0.427 0.593 0.875 0.790
LHD 0.321 0.443 0.529 0.737 0.701
S4LRU 0.416 0.716 0.810 0.938 0.910
TwoQ 0.140 0.492 0.741 0.954 0.869
Clock 0.052 0.436 0.596 0.877 0.788
FIFO 0.043 0.403 0.508 0.845 0.748
FIFO-Merge 0.217 0.437 0.566 0.836 0.778
