cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.911 0.758 0.661 0.736 0.664 0.840 0.820 0.715 0.668 0.592
0.010 0.892 0.701 0.638 0.728 0.637 0.829 0.812 0.717 0.654 0.631
0.030 0.930 0.658 0.649 0.685 0.617 0.865 0.867 0.663 0.673 0.630
0.100 0.917 0.692 0.651 0.635 0.563 0.862 0.828 0.629 0.653 0.707
0.200 0.895 0.827 0.808 0.832 0.719 0.836 0.908 0.743 0.810 0.785
0.400 0.881 0.839 0.767 0.771 0.750 0.919 0.950 0.735 0.772 0.877
