 FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
P1 0.477 0.450 0.116 0.409 0.104 0.391 0.279 0.145 0.119 0.183
P3 0.722 0.491 0.329 0.524 0.248 0.510 0.548 0.294 0.351 0.272
P5 0.744 0.667 0.480 0.611 0.270 0.597 0.622 0.363 0.499 0.332
P10 0.835 0.834 0.590 0.702 0.456 0.689 0.717 0.421 0.580 0.361
P30 0.964 0.967 0.809 0.894 0.810 0.862 0.858 0.711 0.812 0.560
P50 0.986 0.986 0.907 0.945 0.898 0.924 0.936 0.832 0.907 0.779
