cachesize FlexCache S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF Hyperbolic LHD S4LRU TwoQ Clock FIFO FIFO-Merge
0.003 0.951 0.944 0.858 0.927 0.854 0.000 0.000 0.000 0.000 0.000 0.894 0.911 0.000 0.000 0.000
0.010 0.950 0.938 0.854 0.930 0.857 0.875 0.839 0.000 0.834 0.000 0.854 0.911 0.836 0.000 0.835
0.030 0.971 0.965 0.895 0.940 0.895 0.933 0.920 0.000 0.882 0.000 0.854 0.945 0.884 0.850 0.881
0.100 0.975 0.974 0.939 0.952 0.928 0.975 0.973 0.884 0.910 0.846 0.939 0.964 0.920 0.896 0.901
0.200 0.979 0.977 0.958 0.958 0.948 0.980 0.982 0.912 0.927 0.884 0.959 0.972 0.942 0.917 0.914
0.400 0.984 0.979 0.974 0.976 0.972 0.985 0.987 0.952 0.956 0.938 0.976 0.968 0.966 0.943 0.942
