cachesize FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
0.003 0.941 0.943 0.933 0.939 0.940 0.939 0.946 1.000 0.934 0.960
0.010 0.930 0.933 0.920 0.927 0.927 0.928 0.951 1.000 0.922 0.959
0.030 0.937 0.942 0.928 0.933 0.934 0.938 0.971 1.000 0.929 0.971
0.100 0.959 0.963 0.950 0.955 0.956 0.963 0.985 1.000 0.951 0.980
0.200 0.974 0.976 0.968 0.972 0.974 0.979 0.990 1.000 0.968 0.982
0.400 0.984 0.987 0.981 0.985 0.988 0.989 0.994 0.999 0.980 0.989
