policy P1 P5 P10 P50 average
FlexCache 0.369 0.833 0.915 0.997 0.953
S3FIFO 0.277 0.762 0.901 0.995 0.941
ARC 0.146 0.459 0.722 0.961 0.862
Cacheus 0.456 0.701 0.821 0.983 0.930
LeCaR 0.163 0.446 0.637 0.970 0.857
LIRS 0.263 0.519 0.753 0.962 0.882
WTinyLFU 0.264 0.491 0.655 0.926 0.000
GDSF 0.219 0.401 0.522 0.894 0.000
Hyperbolic 0.146 0.411 0.604 0.945 0.000
LHD 0.367 0.488 0.624 0.831 0.000
S4LRU 0.181 0.402 0.678 0.978 0.866
TwoQ 0.236 0.650 0.833 0.988 0.915
Clock 0.141 0.414 0.612 0.953 0.000
FIFO 0.136 0.398 0.572 0.898 0.000
FIFO-Merge 0.208 0.484 0.641 0.930 0.000
