policy P1 P5 P10 P50 average
FlexCache 0.487 0.837 0.914 0.991 0.962
S3FIFO 0.171 0.754 0.889 0.989 0.934
ARC 0.090 0.577 0.756 0.934 0.856
Cacheus 0.434 0.611 0.810 0.948 0.901
LeCaR 0.068 0.381 0.646 0.915 0.810
LIRS 0.327 0.730 0.803 0.944 0.911
WTinyLFU 0.382 0.699 0.771 0.959 0.911
GDSF 0.117 0.372 0.498 0.819 0.752
Hyperbolic 0.067 0.384 0.638 0.882 0.786
LHD 0.263 0.367 0.454 0.710 0.688
S4LRU 0.482 0.703 0.771 0.942 0.904
TwoQ 0.135 0.692 0.834 0.970 0.906
Clock 0.055 0.383 0.636 0.891 0.787
FIFO 0.053 0.368 0.580 0.829 0.744
FIFO-Merge 0.228 0.422 0.615 0.841 0.781
