,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.6694,0.6711,0.6562,0.6762,0.8161,0.8655,0.7452,0.7601,0.8032,0.7239,0.6701,0.7744,0.6724,0.6724,0.7476,0.6834,0.6699
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.5481,0.5469,0.5305,0.5564,0.5829,0.6508,0.6023,0.5705,0.5879,0.5732,0.5491,0.5684,0.5465,0.5476,0.5607,0.5536,0.6626
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.7071,0.7093,0.6327,0.7077,0.7401,0.7588,0.7379,0.7275,0.7394,0.7292,0.7112,0.7344,0.7081,0.7088,0.7239,0.714,0.7668
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.6702,0.6695,0.6492,0.6811,0.7226,0.7818,0.7322,0.69,0.7281,0.6972,0.6709,0.7117,0.6695,0.6705,0.6813,0.6756,0.7
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.8215,0.823,0.8046,0.8256,0.8563,0.8824,0.8482,0.8336,0.8537,0.8409,0.824,0.852,0.8228,0.8236,0.8294,0.8256,0.8319
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.2576,0.2592,0.2297,0.2648,0.289,0.3298,0.288,0.2878,0.2986,0.2834,0.2576,0.2822,0.2561,0.2583,0.2718,0.2655,0.3762
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.7521,0.7534,0.7415,0.7578,0.8075,0.857,0.791,0.7741,0.8041,0.7928,0.7528,0.7964,0.7528,0.7529,0.7627,0.7549,0.754
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.7664,0.7593,0.5586,0.8134,0.8605,0.8658,0.8407,0.8456,0.8576,0.7823,0.7561,0.8543,0.769,0.7643,0.8202,0.7849,0.8455
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.8544,0.8546,0.8437,0.8545,0.8779,0.9085,0.8611,0.8598,0.8744,0.8625,0.8536,0.8724,0.8546,0.8551,0.8595,0.8561,0.8732
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.4442,0.4428,0.3831,0.4439,0.4576,0.4775,0.4619,0.46,0.464,0.4487,0.4428,0.4555,0.4429,0.4445,0.4644,0.4495,0.5109
