,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.5812,0.6397,0.5671,0.6396,0.6495,0.6667,0.6504,0.6456,0.6462,0.6398,0.6151,0.5818,0.6506,0.6483,0.6394,0.6431,0.6011,0.6443,0.5808
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.2817,0.2504,0.1895,0.2797,0.3082,0.3208,0.3314,0.2975,0.3296,0.461,0.2902,0.2365,0.3143,0.2679,0.2438,0.2429,0.5048,0.268,0.3128
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.3172,0.306,0.2079,0.2932,0.3517,0.3719,0.3692,0.3136,0.3758,0.4462,0.3252,0.3121,0.3583,0.3216,0.3111,0.3112,0.3295,0.3111,0.4287
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.4301,0.4841,0.302,0.5568,0.5795,0.5597,0.5083,0.5451,0.5549,0.6168,0.4098,0.3728,0.5918,0.5729,0.4253,0.4208,0.6177,0.458,0.3731
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.6404,0.7027,0.4892,0.749,0.7863,0.7914,0.7099,0.7849,0.7769,0.7743,0.6076,0.5874,0.7873,0.7605,0.6822,0.6384,0.6709,0.6389,0.5629
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.1475,0.1524,0.0876,0.1757,0.1813,0.1871,0.1664,0.1731,0.1725,0.2232,0.1459,0.1237,0.1822,0.1813,0.1497,0.1503,0.1483,0.1389,0.1466
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.4896,0.6722,0.4198,0.7,0.7381,0.7449,0.6344,0.7367,0.7319,0.7188,0.5191,0.4986,0.7385,0.7378,0.6852,0.6841,0.5514,0.6823,0.4908
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.0857,0.0893,0.0611,0.0871,0.0949,0.1225,0.1207,0.0883,0.0944,0.1734,0.0888,0.0894,0.0976,0.0942,0.0851,0.0843,0.0864,0.0896,0.145
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.6929,0.8269,0.6519,0.8293,0.8351,0.8384,0.8206,0.8336,0.8332,0.827,0.8334,0.6878,0.8356,0.8348,0.8266,0.8315,0.7181,0.833,0.6913
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.155,0.1539,0.1052,0.1567,0.2012,0.2188,0.2014,0.164,0.2174,0.2335,0.165,0.1586,0.1998,0.1827,0.1567,0.1602,0.1694,0.1709,0.212
