,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst_3274061,0.3755,0.6392,0.3195,0.6369,0.6465,0.6522,0.5052,0.6438,0.6318,0.4375,0.3323,0.6469,0.4561,0.4764,0.4152,0.6415,0.3512
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst_7795815,0.0773,0.0768,0.0632,0.0864,0.0859,0.0928,0.1191,0.0779,0.0969,0.0805,0.082,0.0794,0.0746,0.0772,0.0735,0.0934,0.0884
fiu_ikki-110108-112108.oracleGeneral.zst_5256676,0.1941,0.1922,0.1804,0.1993,0.1975,0.2301,0.2057,0.1855,0.2053,0.1953,0.2141,0.1981,0.1922,0.1954,0.1974,0.218,0.2208
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst_14294158,0.1459,0.2365,0.0751,0.2462,0.2063,0.2666,0.1787,0.1669,0.2025,0.1316,0.0988,0.2172,0.1448,0.1461,0.1527,0.1821,0.1094
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst_5700499,0.1936,0.3147,0.1426,0.2836,0.3136,0.3449,0.2987,0.2642,0.3062,0.2309,0.1595,0.2819,0.2201,0.2198,0.2119,0.2364,0.1553
fiu_casa-110108-112108.oracleGeneral.zst_8973201,0.0444,0.0436,0.0363,0.0469,0.0446,0.0644,0.0593,0.0433,0.0598,0.0458,0.0466,0.0448,0.0432,0.048,0.0459,0.0512,0.0507
fiu_webusers-030409-033109.oracleGeneral.zst_7726138,0.0634,0.1033,0.0336,0.1122,0.1117,0.2185,0.094,0.0378,0.117,0.0462,0.0413,0.1051,0.0756,0.0732,0.0725,0.0878,0.0464
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst_442393092,0.0464,0.0478,0.0348,0.0464,0.0492,0.0589,0.0575,0.0475,0.0489,0.0537,0.047,0.0502,0.0467,0.0471,0.0467,0.0525,0.108
fiu_madmax-110108-112108.oracleGeneral.zst_918010,0.3866,0.6712,0.1652,0.6421,0.6615,0.6339,0.4152,0.399,0.6616,0.502,0.2065,0.4837,0.3797,0.3533,0.4478,0.3895,0.2051
fiu_homes-110108-112108.oracleGeneral.zst_17836701,0.1019,0.0998,0.0944,0.1001,0.1049,0.1317,0.1099,0.0946,0.1162,0.0978,0.1053,0.1034,0.0998,0.102,0.1003,0.1203,0.1074
