,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst,0.1231,0.1222,0.1337,0.1388,0.0853,0.1371,0.1409,0.1571,0.1511,0.1408,0.1487,0.1267,0.1432,0.1366,0.1333,0.1328,0.1414,0.1325,0.1382
w94.oracleGeneral.bin.zst,0.2802,0.2843,0.3049,0.2893,0.2246,0.3351,0.3402,0.3781,0.3596,0.3163,0.3505,0.3376,0.3164,0.3314,0.2869,0.2918,0.3302,0.3139,0.3532
w105.oracleGeneral.bin.zst,0.5019,0.5021,0.5234,0.5499,0.4451,0.5896,0.6667,0.6883,0.6549,0.638,0.6718,0.6446,0.5142,0.6682,0.5458,0.5697,0.5674,0.6026,0.5323
w35.oracleGeneral.bin.zst,0.0642,0.0641,0.0659,0.0634,0.0444,0.0648,0.0659,0.0767,0.0718,0.0704,0.0717,0.0674,0.0659,0.0656,0.0649,0.0649,0.0681,0.067,0.071
w19.oracleGeneral.bin.zst,0.0938,0.0922,0.1176,0.1213,0.0791,0.1239,0.1244,0.1798,0.1649,0.1195,0.1263,0.1197,0.1177,0.1245,0.1145,0.1152,0.1154,0.1185,0.124
w75.oracleGeneral.bin.zst,0.099,0.1006,0.1076,0.1067,0.0747,0.1139,0.1188,0.1378,0.1272,0.1144,0.1219,0.1138,0.1024,0.1172,0.1067,0.1077,0.1087,0.1127,0.1059
w50.oracleGeneral.bin.zst,0.2208,0.2277,0.24,0.2324,0.1993,0.2293,0.3514,0.4803,0.4313,0.2701,0.3575,0.274,0.2278,0.2987,0.2421,0.2447,0.2627,0.2889,0.2351
w97.oracleGeneral.bin.zst,0.5838,0.5843,0.5924,0.6268,0.4805,0.6131,0.6397,0.6603,0.6235,0.6336,0.6334,0.6046,0.5896,0.6451,0.6082,0.6119,0.6213,0.6244,0.5839
w83.oracleGeneral.bin.zst,0.3509,0.3524,0.3555,0.3526,0.2878,0.3629,0.3792,0.3887,0.3915,0.3664,0.3774,0.3702,0.3559,0.3729,0.3503,0.3564,0.3605,0.3788,0.3661
w81.oracleGeneral.bin.zst,0.5824,0.5882,0.598,0.6157,0.5624,0.6017,0.7034,0.7027,0.6959,0.6962,0.6954,0.63,0.5823,0.6974,0.6196,0.6442,0.6134,0.6773,0.5922
w63.oracleGeneral.bin.zst,0.565,0.5611,0.5745,0.5784,0.5115,0.5984,0.5892,0.6201,0.5992,0.586,0.5937,0.5836,0.586,0.5895,0.5779,0.596,0.577,0.6133,0.601
w86.oracleGeneral.bin.zst,0.9097,0.9097,0.9101,0.9176,0.9065,0.9204,0.9255,0.9279,0.9255,0.9249,0.9256,0.9266,0.9102,0.9262,0.9175,0.9213,0.9135,0.9273,0.9108
w60.oracleGeneral.bin.zst,0.6181,0.6251,0.6331,0.6877,0.5625,0.7017,0.7847,0.792,0.7583,0.765,0.7743,0.6944,0.6201,0.7889,0.6651,0.6853,0.6743,0.7282,0.6431
w30.oracleGeneral.bin.zst,0.15,0.1488,0.1497,0.1431,0.0729,0.1372,0.1398,0.172,0.1687,0.1829,0.1902,0.1378,0.1446,0.1357,0.1356,0.1385,0.1354,0.1461,0.1958
w102.oracleGeneral.bin.zst,0.1324,0.1338,0.1451,0.1451,0.0967,0.191,0.1591,0.1707,0.1723,0.171,0.1751,0.1393,0.1349,0.1522,0.1432,0.1421,0.157,0.1332,0.1305
w78.oracleGeneral.bin.zst,0.2703,0.2695,0.3128,0.3183,0.1992,0.308,0.3226,0.3276,0.3211,0.3223,0.3253,0.3098,0.2843,0.3251,0.304,0.2984,0.2859,0.3084,0.2845
w18.oracleGeneral.bin.zst,0.4698,0.4713,0.479,0.5402,0.3894,0.502,0.6039,0.6019,0.5588,0.5886,0.588,0.5465,0.4832,0.6022,0.4974,0.4971,0.5029,0.5111,0.4997
w99.oracleGeneral.bin.zst,0.532,0.5365,0.5444,0.6052,0.5151,0.5889,0.6435,0.6442,0.6306,0.6348,0.6399,0.6152,0.5339,0.639,0.5995,0.6242,0.5603,0.6385,0.5417
w03.oracleGeneral.bin.zst,0.4344,0.4366,0.4408,0.433,0.3288,0.4857,0.5076,0.5022,0.4815,0.4927,0.4908,0.42,0.4412,0.5,0.4358,0.4001,0.4766,0.4269,0.3838
w42.oracleGeneral.bin.zst,0.53,0.5287,0.5349,0.5422,0.4429,0.5822,0.6401,0.6523,0.6278,0.6132,0.6341,0.6157,0.5294,0.6415,0.5414,0.5628,0.5556,0.5975,0.5585
w44.oracleGeneral.bin.zst,0.7502,0.7627,0.7595,0.8316,0.6798,0.8304,0.868,0.8744,0.8515,0.8641,0.863,0.803,0.755,0.8688,0.8295,0.8491,0.777,0.8624,0.7723
w98.oracleGeneral.bin.zst,0.5805,0.5816,0.5901,0.6183,0.4763,0.6071,0.6327,0.6532,0.6165,0.6278,0.6272,0.5974,0.5832,0.6366,0.6014,0.6051,0.6169,0.6196,0.5788
w68.oracleGeneral.bin.zst,0.1302,0.1294,0.1353,0.1375,0.1054,0.1569,0.1617,0.2058,0.173,0.1568,0.1626,0.1551,0.1349,0.1639,0.1372,0.1406,0.1453,0.1544,0.1426
w27.oracleGeneral.bin.zst,0.3684,0.3646,0.4219,0.4435,0.2738,0.4421,0.4362,0.4659,0.4333,0.452,0.4544,0.4399,0.4183,0.4254,0.4539,0.461,0.4385,0.4797,0.4765
w101.oracleGeneral.bin.zst,0.5849,0.5841,0.5914,0.614,0.4891,0.6121,0.6361,0.6558,0.6218,0.6296,0.6306,0.6069,0.5892,0.6411,0.6073,0.6127,0.6217,0.6224,0.5884
w28.oracleGeneral.bin.zst,0.348,0.3442,0.3602,0.3521,0.3011,0.3431,0.3687,0.4023,0.4105,0.3658,0.3757,0.4,0.3827,0.3531,0.363,0.3714,0.36,0.3989,0.4399
w23.oracleGeneral.bin.zst,0.3013,0.3028,0.325,0.3276,0.2129,0.3427,0.3566,0.4265,0.3777,0.3263,0.3617,0.3435,0.3373,0.3595,0.3177,0.3167,0.3199,0.3275,0.3326
w54.oracleGeneral.bin.zst,0.8417,0.8419,0.8426,0.8417,0.8314,0.8413,0.8437,0.853,0.8453,0.8418,0.8409,0.8401,0.8433,0.8445,0.8407,0.8411,0.8431,0.8447,0.844
w13.oracleGeneral.bin.zst,0.1943,0.1959,0.2145,0.2248,0.1575,0.2323,0.221,0.2359,0.2343,0.2273,0.2291,0.2251,0.2252,0.2094,0.217,0.2211,0.2121,0.2411,0.2184
