,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w70.oracleGeneral.bin.zst,0.4583,0.4557,0.4589,0.4679,0.3697,0.4948,0.5418,0.5821,0.5584,0.5006,0.5714,0.5216,0.4746,0.5372,0.4603,0.4583,0.5312,0.4533,0.5321
w94.oracleGeneral.bin.zst,0.9595,0.9589,0.9616,0.9551,0.8876,0.9282,0.9633,0.9621,0.9645,0.9631,0.9634,0.9708,0.9672,0.9625,0.9625,0.9654,0.9627,0.9655,0.9558
w105.oracleGeneral.bin.zst,0.8571,0.8572,0.8579,0.8595,0.8225,0.8602,0.8663,0.8704,0.8662,0.8629,0.8659,0.8651,0.8599,0.8661,0.8576,0.8575,0.8625,0.8585,0.8612
w35.oracleGeneral.bin.zst,0.5536,0.57,0.602,0.5894,0.5003,0.7945,0.886,0.8932,0.8175,0.8444,0.8723,0.6911,0.5624,0.8868,0.5882,0.5841,0.7477,0.6361,0.5776
w19.oracleGeneral.bin.zst,0.9625,0.965,0.9608,0.9655,0.8865,0.9694,0.9902,0.9914,0.9857,0.9896,0.9912,0.9614,0.9649,0.989,0.9658,0.9658,0.9816,0.9697,0.9371
w75.oracleGeneral.bin.zst,0.2899,0.2896,0.2905,0.3007,0.2548,0.3059,0.3223,0.356,0.3315,0.3006,0.3243,0.3135,0.3087,0.317,0.2931,0.29,0.3051,0.2873,0.2974
w50.oracleGeneral.bin.zst,0.9753,0.9752,0.9752,0.9766,0.9626,0.979,0.9946,0.9954,0.9923,0.9933,0.9957,0.9887,0.9751,0.9945,0.9765,0.9771,0.9848,0.9792,0.9745
w97.oracleGeneral.bin.zst,0.7343,0.7322,0.7325,0.7577,0.6867,0.763,0.78,0.7926,0.7813,0.7718,0.7806,0.7751,0.7648,0.7807,0.738,0.7274,0.7537,0.7256,0.7554
w83.oracleGeneral.bin.zst,0.5215,0.5213,0.5225,0.522,0.4753,0.5252,0.5248,0.5276,0.5296,0.5231,0.5286,0.52,0.5307,0.5219,0.5251,0.5218,0.5321,0.5051,0.5083
w81.oracleGeneral.bin.zst,0.7651,0.7634,0.7729,0.7669,0.7377,0.7633,0.7685,0.7784,0.7739,0.7652,0.768,0.7703,0.7772,0.7687,0.7721,0.7761,0.7709,0.7712,0.7813
w63.oracleGeneral.bin.zst,0.8315,0.8327,0.8395,0.8465,0.7564,0.8532,0.8765,0.8919,0.8864,0.8469,0.88,0.867,0.8441,0.874,0.8379,0.8385,0.8502,0.8475,0.8445
w86.oracleGeneral.bin.zst,0.9553,0.9542,0.9548,0.9541,0.9347,0.9542,0.9574,0.9586,0.9585,0.9566,0.9573,0.9576,0.9582,0.9573,0.9549,0.9559,0.9542,0.9562,0.9621
w60.oracleGeneral.bin.zst,0.8609,0.8605,0.8677,0.8631,0.8267,0.8629,0.8656,0.8727,0.8689,0.8624,0.866,0.8649,0.8771,0.865,0.8683,0.8694,0.8761,0.8703,0.8883
w30.oracleGeneral.bin.zst,0.8552,0.819,0.8153,0.7837,0.6899,0.7803,0.959,0.962,0.9319,0.9419,0.9556,0.9284,0.7804,0.9601,0.7937,0.7937,0.9193,0.8323,0.8193
w102.oracleGeneral.bin.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
w78.oracleGeneral.bin.zst,0.5606,0.5572,0.5723,0.5757,0.4848,0.5796,0.61,0.6246,0.5976,0.6102,0.6112,0.591,0.5724,0.6077,0.5718,0.5729,0.6029,0.5928,0.5831
w18.oracleGeneral.bin.zst,0.7209,0.7217,0.7221,0.7286,0.6903,0.7524,0.7684,0.7762,0.7778,0.7501,0.7676,0.7538,0.7295,0.7598,0.723,0.7206,0.7351,0.7233,0.7254
