,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
meta_reag.oracleGeneral.zst_45623306,0.1926,0.199,0.1571,0.1964,0.1983,0.1985,0.1764,0.1638,0.1999,0.181,0.1948,0.1964,0.1944,0.1883,0.1961,0.1868,0.1821
meta_rprn.oracleGeneral.zst_88470732,0.2587,0.2658,0.2157,0.2627,0.2637,0.2633,0.231,0.2088,0.2634,0.2329,0.2577,0.2617,0.2603,0.2547,0.26,0.2519,0.2271
meta_rnha.oracleGeneral.zst_96680668,0.252,0.2619,0.2032,0.2549,0.2557,0.2552,0.2144,0.1783,0.2573,0.2139,0.2494,0.2531,0.254,0.249,0.2524,0.242,0.213
