,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
tencent_photo1.oracleGeneral.zst_2917228640,0.2097,0.2381,0.1814,0.2151,0.213,0.2294,0.2052,0.1979,0.2126,0.4432,0.2107,0.2184,0.2152,0.2101,0.2083,0.21,0.209,0.2252,0.2395
tencent_photo2.oracleGeneral.zst_2731876301,0.2149,0.2435,0.1862,0.22,0.2179,0.2343,0.21,0.2028,0.2175,0.4453,0.218,0.2239,0.2202,0.2149,0.2133,0.2151,0.2139,0.2303,0.2453
