cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
0.003 0.207 0.192 0.166 0.076 0.000 0.075 0.131 0.075 0.153 0.175 0.067 0.202 0.218 0.153 0.123 0.191 0.210 0.196
0.010 0.293 0.288 0.185 0.063 0.000 0.078 0.136 0.063 0.177 0.277 0.058 0.284 0.280 0.237 0.132 0.235 0.293 0.253
0.030 0.353 0.297 0.206 0.066 0.000 0.067 0.178 0.047 0.174 0.291 0.051 0.314 0.319 0.230 0.190 0.282 0.354 0.299
0.100 0.292 0.250 0.182 0.107 0.000 0.105 0.157 0.107 0.117 0.271 0.089 0.214 0.222 0.193 0.225 0.224 0.287 0.213
0.200 0.149 0.122 0.122 0.108 0.000 0.047 0.110 0.045 0.058 0.120 0.115 0.133 0.129 0.099 0.074 0.121 0.151 0.129
0.400 0.074 0.062 0.054 0.053 0.000 0.039 0.056 0.051 0.032 0.060 0.053 0.059 0.060 0.060 0.032 0.044 0.075 0.059
