cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
0.003 0.059 0.045 0.044 0.033 0.000 0.028 0.047 0.029 0.056 0.047 0.038 0.059 0.061 0.049 0.048 0.058 0.059 0.059
0.010 0.038 0.030 0.031 0.025 0.000 0.020 0.031 0.019 0.035 0.032 0.028 0.039 0.039 0.033 0.018 0.037 0.039 0.039
0.030 0.024 0.019 0.021 0.017 0.000 0.013 0.020 0.013 0.018 0.020 0.020 0.025 0.025 0.021 0.014 0.023 0.025 0.025
0.100 0.014 0.011 0.012 0.010 0.000 0.008 0.012 0.009 0.006 0.011 0.012 0.015 0.015 0.013 0.001 0.013 0.015 0.015
0.200 0.011 0.010 0.009 0.007 0.000 0.007 0.010 0.007 0.004 0.010 0.010 0.011 0.011 0.010 0.004 0.007 0.011 0.011
0.400 0.006 0.007 0.006 0.006 0.000 0.005 0.006 0.005 0.004 0.005 0.006 0.006 0.006 0.006 0.001 0.002 0.006 0.006
