cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
0.003 0.188 0.158 0.132 0.062 0.000 0.066 0.093 0.060 0.129 0.168 0.077 0.163 0.164 0.115 0.080 0.146 0.195 0.164
0.010 0.135 0.095 0.084 0.050 0.000 0.037 0.046 0.048 0.075 0.099 0.059 0.095 0.094 0.073 0.056 0.082 0.135 0.094
0.030 0.200 0.122 0.115 0.066 0.000 0.060 0.069 0.068 0.115 0.163 0.074 0.118 0.116 0.123 0.139 0.103 0.175 0.154
0.100 0.365 0.109 0.074 0.018 0.000 0.068 0.033 0.028 0.165 0.300 0.048 0.135 0.144 0.113 0.273 0.125 0.321 0.253
0.200 0.436 0.091 0.102 0.024 0.000 0.097 0.061 0.013 0.144 0.342 0.059 0.246 0.247 0.128 0.295 0.106 0.424 0.308
0.400 0.409 0.025 0.144 0.031 0.000 0.149 0.062 0.064 0.150 0.308 0.055 0.216 0.204 0.205 0.288 0.153 0.405 0.245
