cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
0.003 0.132 0.150 0.108 0.031 0.000 0.018 0.056 0.028 0.078 0.040 0.053 0.093 0.063 0.050 -0.036 0.051 0.158 0.142
0.010 0.372 0.212 0.189 0.061 0.000 0.082 0.120 0.072 0.180 0.251 0.092 0.213 0.212 0.196 0.216 0.155 0.382 0.328
0.030 0.397 0.138 0.090 0.041 0.000 0.045 0.065 0.038 0.128 0.299 0.062 0.287 0.288 0.301 0.268 0.132 0.395 0.360
0.100 0.407 0.254 0.197 0.015 0.000 0.093 0.046 0.014 0.199 0.324 0.028 0.247 0.157 0.307 0.317 0.106 0.399 0.381
0.200 0.569 0.257 0.193 0.022 0.000 0.267 0.059 0.108 0.371 0.483 0.019 0.166 0.139 0.453 0.472 0.143 0.561 0.500
0.400 0.321 0.140 0.241 0.025 0.000 0.180 0.068 0.096 0.233 0.283 0.098 0.234 0.208 0.263 0.276 0.144 0.307 0.221
