benchmarks accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
systor 0.353 0.297 0.206 0.066 0.000 0.067 0.178 0.047 0.174 0.291 0.051 0.314 0.319 0.230 0.190 0.282 0.354 0.299
metaCDN 0.043 0.037 0.036 0.021 0.000 0.017 0.037 0.020 0.017 0.014 0.019 0.045 0.053 0.036 -0.012 0.049 0.048 0.048
twitter 0.024 0.017 0.017 0.014 0.000 0.013 0.017 0.012 0.020 0.018 0.016 0.023 0.026 0.021 0.002 0.023 0.024 0.023
fiu 0.200 0.122 0.115 0.066 0.000 0.060 0.069 0.068 0.115 0.163 0.074 0.118 0.116 0.123 0.139 0.103 0.175 0.154
alibabaBlock 0.149 0.116 0.108 0.030 0.000 0.048 0.051 0.018 0.097 0.131 0.036 0.133 0.136 0.069 0.119 0.117 0.148 0.139
msr 0.397 0.138 0.090 0.041 0.000 0.045 0.065 0.038 0.128 0.299 0.062 0.287 0.288 0.301 0.268 0.132 0.395 0.360
tencentPhoto 0.107 0.069 0.088 0.068 0.000 0.075 0.095 0.076 0.043 0.075 0.077 0.111 0.106 0.106 -0.071 0.076 0.110 0.111
tencentBlock 0.076 0.052 0.046 0.024 0.000 0.023 0.028 0.018 0.052 0.061 0.030 0.059 0.060 0.042 0.046 0.055 0.074 0.069
cloudphysics 0.276 0.184 0.158 0.040 0.000 0.059 0.081 0.042 0.159 0.215 0.047 0.198 0.185 0.165 0.185 0.151 0.267 0.246
metaKV 0.024 0.019 0.021 0.017 0.000 0.013 0.020 0.013 0.018 0.020 0.020 0.025 0.025 0.021 0.014 0.023 0.025 0.025
wikimedia 0.158 0.144 0.108 0.087 0.000 0.082 0.151 0.099 0.158 0.146 0.082 0.158 0.161 0.147 0.160 0.136 0.153 0.153
