cachesize accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
0.003 0.255 0.236 0.213 0.046 0.000 0.067 0.095 0.044 0.137 0.170 0.055 0.242 0.250 0.130 0.143 0.223 0.257 0.248
0.010 0.245 0.199 0.164 0.050 0.000 0.049 0.089 0.045 0.135 0.172 0.061 0.208 0.209 0.131 0.116 0.181 0.238 0.229
0.030 0.276 0.184 0.158 0.040 0.000 0.059 0.081 0.042 0.159 0.215 0.047 0.198 0.185 0.165 0.185 0.151 0.267 0.246
0.100 0.308 0.162 0.186 0.043 0.000 0.095 0.107 0.079 0.189 0.253 0.052 0.221 0.211 0.213 0.237 0.160 0.304 0.253
0.200 0.254 0.126 0.109 0.043 0.000 0.067 0.067 0.048 0.144 0.208 0.048 0.147 0.132 0.168 0.201 0.096 0.247 0.196
0.400 0.239 0.081 0.078 0.037 0.000 0.100 0.059 0.056 0.141 0.196 0.040 0.125 0.116 0.154 0.185 0.070 0.233 0.173
