benchmarks accp4 ARC Cacheus Clock FIFO FIFO-Merge GDSF Hyperbolic LHD LIRS LeCaR QDLP S3FIFO S4LRU WTinyLFU TwoQ accp4c accp4p
systor 0.293 0.288 0.185 0.063 0.000 0.078 0.136 0.063 0.177 0.277 0.058 0.284 0.280 0.237 0.132 0.235 0.293 0.253
metaCDN 0.044 0.041 0.037 0.023 0.000 0.019 0.040 0.021 0.045 0.013 0.020 0.045 0.052 0.036 -0.016 0.049 0.049 0.049
twitter 0.040 0.026 0.026 0.020 0.000 0.021 0.029 0.019 0.039 0.026 0.028 0.038 0.043 0.034 0.013 0.038 0.039 0.039
fiu 0.135 0.095 0.084 0.050 0.000 0.037 0.046 0.048 0.075 0.099 0.059 0.095 0.094 0.073 0.056 0.082 0.135 0.094
alibabaBlock 0.154 0.107 0.099 0.033 0.000 0.043 0.039 0.026 0.105 0.120 0.036 0.129 0.134 0.072 0.110 0.114 0.147 0.145
msr 0.372 0.212 0.189 0.061 0.000 0.082 0.120 0.072 0.180 0.251 0.092 0.213 0.212 0.196 0.216 0.155 0.382 0.328
tencentPhoto 0.185 0.108 0.137 0.095 0.000 0.103 0.142 0.117 0.131 0.124 0.100 0.188 0.188 0.174 -0.045 0.156 0.189 0.189
tencentBlock 0.083 0.068 0.059 0.037 0.000 0.032 0.048 0.028 0.060 0.063 0.042 0.073 0.074 0.060 0.011 0.071 0.084 0.080
cloudphysics 0.245 0.199 0.164 0.050 0.000 0.049 0.089 0.045 0.135 0.172 0.061 0.208 0.209 0.131 0.116 0.181 0.238 0.229
metaKV 0.038 0.030 0.031 0.025 0.000 0.020 0.031 0.019 0.035 0.032 0.028 0.039 0.039 0.033 0.018 0.037 0.039 0.039
wikimedia 0.244 0.223 0.162 0.108 0.000 0.110 0.227 0.120 0.244 0.224 0.087 0.245 0.250 0.225 0.256 0.214 0.237 0.237
